semantic_pair,label_family,rows
basis_premium_like|age_x_volatility,L1_cross_sectional_relative_return,19
basis_premium_like|age_x_volatility,L0_raw_forward_return,18
basis_premium|basis_premium,L3_liquidity_tier_relative_return,18
basis_premium|basis_premium,L1_cross_sectional_relative_return,18
basis_premium|basis_premium,L0_raw_forward_return,17
volatility_like|volume_volatility_ratio_168h,L0_raw_forward_return,17
volatility_like|volume_volatility_ratio_168h,L1_cross_sectional_relative_return,17
basis_premium_like|age_x_volatility,L3_liquidity_tier_relative_return,13
basis_premium|positioning_flow,L0_raw_forward_return,11
volatility_like|volume_volatility_ratio_168h,L3_liquidity_tier_relative_return,11
basis_premium|positioning_flow,L1_cross_sectional_relative_return,11
volatility_like,L1_cross_sectional_relative_return,10
volatility_like,L0_raw_forward_return,10
basis_premium|positioning_flow,L3_liquidity_tier_relative_return,9
listing_age_like|regime_state,L0_raw_forward_return,7
listing_age_like|regime_state,L1_cross_sectional_relative_return,7
volatility_like|liquidity_rank_active_universe,L1_cross_sectional_relative_return,6
basis_premium|basis_premium,L5_vol_adjusted_return,6
volatility_like|liquidity_rank_active_universe,L0_raw_forward_return,5
volatility_like|liquidity_rank_active_universe,L3_liquidity_tier_relative_return,3
volatility_like|trade_volume,L1_cross_sectional_relative_return,2
volatility_like|trade_volume,L0_raw_forward_return,2
volatility_like|trade_volume,L3_liquidity_tier_relative_return,2
basis_premium|positioning_flow,L5_vol_adjusted_return,1
open_interest_like|positioning_like,L3_liquidity_tier_relative_return,1
listing_age_like|regime_state,L3_liquidity_tier_relative_return,1
open_interest_like|age_x_liquidity,L3_liquidity_tier_relative_return,1
open_interest_like|liquidity_rank_active_universe,L5_vol_adjusted_return,1
