shard_id,start_row,end_row_exclusive,rows,source_path,checkpoint_path
a7ls15_mat_s000,0,1000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s000.json
a7ls15_mat_s001,1000,2000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s001.json
a7ls15_mat_s002,2000,3000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s002.json
a7ls15_mat_s003,3000,4000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s003.json
a7ls15_mat_s004,4000,5000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s004.json
a7ls15_mat_s005,5000,6000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s005.json
a7ls15_mat_s006,6000,7000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s006.json
a7ls15_mat_s007,7000,8000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s007.json
a7ls15_mat_s008,8000,9000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s008.json
a7ls15_mat_s009,9000,10000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s009.json
a7ls15_mat_s010,10000,11000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s010.json
a7ls15_mat_s011,11000,12000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s011.json
a7ls15_mat_s012,12000,13000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s012.json
a7ls15_mat_s013,13000,14000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s013.json
a7ls15_mat_s014,14000,15000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s014.json
a7ls15_mat_s015,15000,16000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s015.json
a7ls15_mat_s016,16000,17000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s016.json
a7ls15_mat_s017,17000,18000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s017.json
a7ls15_mat_s018,18000,19000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s018.json
a7ls15_mat_s019,19000,20000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s019.json
a7ls15_mat_s020,20000,21000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s020.json
a7ls15_mat_s021,21000,22000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s021.json
a7ls15_mat_s022,22000,23000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s022.json
a7ls15_mat_s023,23000,24000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s023.json
a7ls15_mat_s024,24000,25000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s024.json
a7ls15_mat_s025,25000,26000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s025.json
a7ls15_mat_s026,26000,27000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s026.json
a7ls15_mat_s027,27000,28000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s027.json
a7ls15_mat_s028,28000,29000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s028.json
a7ls15_mat_s029,29000,30000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s029.json
a7ls15_mat_s030,30000,31000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s030.json
a7ls15_mat_s031,31000,32000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s031.json
a7ls15_mat_s032,32000,33000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s032.json
a7ls15_mat_s033,33000,34000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s033.json
a7ls15_mat_s034,34000,35000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s034.json
a7ls15_mat_s035,35000,36000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s035.json
a7ls15_mat_s036,36000,37000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s036.json
a7ls15_mat_s037,37000,38000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s037.json
a7ls15_mat_s038,38000,39000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s038.json
a7ls15_mat_s039,39000,40000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s039.json
a7ls15_mat_s040,40000,41000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s040.json
a7ls15_mat_s041,41000,42000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s041.json
a7ls15_mat_s042,42000,43000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s042.json
a7ls15_mat_s043,43000,44000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s043.json
a7ls15_mat_s044,44000,45000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s044.json
a7ls15_mat_s045,45000,46000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s045.json
a7ls15_mat_s046,46000,47000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s046.json
a7ls15_mat_s047,47000,48000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s047.json
a7ls15_mat_s048,48000,49000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s048.json
a7ls15_mat_s049,49000,50000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s049.json
