blueprint_id,expression,a7ls_lane,lane_name,search_role,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,skeleton_key,production_key,source_stage,source_seed_id,checkpoint_group
a7ls15_85f064f4aa3649ee,mark_index_basis_bps,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,level,,skel_ca36cd3eaf5a3a94,prod_371f830af694ca1a,A7LS-14,,chk_152340eddcac6bc2
a7ls15_0f52d57c856551ab,"Mean(Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Delta(mark_index_basis_bps,1)),4)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|basis_premium_like,seed_smooth_mul,a7ls9_0c00218805a15710,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,delta_1h,skel_e7511eb3cb595ad6,prod_333cd8ee2fcbe14f,A7LS-13,a7ls9_0c00218805a15710,chk_aeadfee51a41d52a
a7ls15_9f5c466e54b1add1,"Mul(Sub(CSRank(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24))))),CSRank(ZScore(Mean(trade_quote_volume,1)))),Sign(ZScore(Mean(trade_quote_volume,1))))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|liquidity_like,seed_signed_spread,a7ls9_0c00218805a15710,trade_quote_volume,a7ls13_seed,liquidity_like,seed_expression,zmean_1h,skel_c1588cbb477cdede,prod_00659e13a145b21b,A7LS-13,a7ls9_0c00218805a15710,chk_9c87257da0057fac
a7ls15_30f900afb3627768,"Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Decay(listing_age_days,72))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|listing_age_like,seed_sub,a7ls9_0c00218805a15710,listing_age_days,a7ls13_seed,listing_age_like,seed_expression,decay_72h,skel_591fa1d46246bc58,prod_ee2072af496c3691,A7LS-13,a7ls9_0c00218805a15710,chk_6a591917eae0eed6
a7ls15_e07540d3dda953c7,"Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(global_long_short_account_ratio_last,6))))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|positioning_like,seed_mul,a7ls9_0c00218805a15710,global_long_short_account_ratio_last,a7ls13_seed,positioning_like,seed_expression,abs_zmean_6h,skel_2a37813b63855131,prod_7055983aa4da6478,A7LS-13,a7ls9_0c00218805a15710,chk_0a31ea6695805687
a7ls15_49c1c75197a696e0,"Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Sign(ZScore(Mean(funding_abs_state,8))))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|regime_state,seed_gated_sign,a7ls9_0c00218805a15710,funding_abs_state,a7ls13_seed,regime_state,seed_expression,zmean_8h,skel_2a37813b63855131,prod_b8df7342d764f08a,A7LS-13,a7ls9_0c00218805a15710,chk_502e51da99d89211
a7ls15_d7c18f96e82f667e,"Mul(Delta(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),4),ZScore(Mean(realized_vol_24h,6)))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|volatility_like,seed_relative_shock,a7ls9_0c00218805a15710,realized_vol_24h,a7ls13_seed,volatility_like,seed_expression,mean_6h,skel_18ee5d7a8ef40e21,prod_cf1c7ff564053e9d,A7LS-13,a7ls9_0c00218805a15710,chk_4d7f4cb3550b8381
a7ls15_bb2dcfc2d8d93d43,"Mul(mark_index_basis_bps,trade_quote_volume)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|liquidity_like,mul,mark_index_basis_bps,trade_quote_volume,basis_premium_like,liquidity_like,level,level,skel_337820bc5afcf6cc,prod_2de326a3c43df8da,A7LS-14,,chk_5d6006f59b0475d5
a7ls15_be9af6ea145bf937,"Mul(mark_index_basis_bps,listing_age_days)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|listing_age_like,mul,mark_index_basis_bps,listing_age_days,basis_premium_like,listing_age_like,level,level,skel_337820bc5afcf6cc,prod_3b5ca24744ae21e3,A7LS-14,,chk_52b58b5fd77c6994
a7ls15_9da3e03eea03c7f4,"Mul(mark_index_basis_bps,global_long_short_account_ratio_last)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|positioning_like,mul,mark_index_basis_bps,global_long_short_account_ratio_last,basis_premium_like,positioning_like,level,level,skel_337820bc5afcf6cc,prod_bb44f40c528a42be,A7LS-14,,chk_b0d77289bae5a6b4
a7ls15_4380c7baced6ffe3,"Mul(mark_index_basis_bps,trade_close)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|price_like,mul,mark_index_basis_bps,trade_close,basis_premium_like,price_like,level,level,skel_337820bc5afcf6cc,prod_0defca006920ee45,A7LS-14,,chk_fcb44eb7382a7121
a7ls15_036be76de15c9654,"Mul(mark_index_basis_bps,realized_vol_24h)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|volatility_like,mul,mark_index_basis_bps,realized_vol_24h,basis_premium_like,volatility_like,level,level,skel_337820bc5afcf6cc,prod_12192ffb8ce1c01e,A7LS-14,,chk_eaaa0aa889d83133
a7ls15_3fb0d12516aff15c,"Mul(Mul(ZScore(Mean(premium_close_bps,168)),ZScore(Mean(basis_abs_168h,168))),mark_index_basis_bps)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|basis_premium|basis_premium_like,seed_mul,a7ls9_13b0747d7cd8a637,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,level,skel_3f60938f4cdb8f74,prod_80d0266c84fec707,A7LS-13,a7ls9_13b0747d7cd8a637,chk_be21b14e923f3764
a7ls15_6fb6944dddb06553,"Mul(Mul(ZScore(Mean(premium_close_bps,168)),ZScore(Mean(basis_abs_168h,168))),Sign(Clip(ZScore(trade_quote_volume),-3,3)))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|basis_premium|liquidity_like,seed_gated_sign,a7ls9_13b0747d7cd8a637,trade_quote_volume,a7ls13_seed,liquidity_like,seed_expression,clip_z,skel_3f50b6daab32c3c9,prod_5a1ef92779654fb9,A7LS-13,a7ls9_13b0747d7cd8a637,chk_1faa4d27567c1336
a7ls15_e45919e806724fc7,"Mul(Delta(Mul(ZScore(Mean(premium_close_bps,168)),ZScore(Mean(basis_abs_168h,168))),4),ZScore(Mean(listing_age_days,72)))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|basis_premium|listing_age_like,seed_relative_shock,a7ls9_13b0747d7cd8a637,listing_age_days,a7ls13_seed,listing_age_like,seed_expression,mean_72h,skel_228fcafb2b3d8e0a,prod_dac9ce7ecf9badd3,A7LS-13,a7ls9_13b0747d7cd8a637,chk_9d1346f123ddf1b1
a7ls15_a6568e8bb372979e,"Mean(Mul(Mul(ZScore(Mean(premium_close_bps,168)),ZScore(Mean(basis_abs_168h,168))),Delta(global_long_short_account_ratio_last,6)),4)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|basis_premium|positioning_like,seed_smooth_mul,a7ls9_13b0747d7cd8a637,global_long_short_account_ratio_last,a7ls13_seed,positioning_like,seed_expression,delta_6h,skel_f3aa3d2285d4761e,prod_49a4726424fe4e74,A7LS-13,a7ls9_13b0747d7cd8a637,chk_a02113d2da2f921d
