a7ls_lane,semantic_pair,rows,eval_success,activity_ok,motifs,activity_ok_rate
A7LS14_A,basis_premium_like|listing_age_like,3613,3613,2928,6,0.8104068641018544
A7LS14_A,basis_premium_like|liquidity_like,3614,3614,2851,11,0.7888765910348644
A7LS14_A,basis_premium_like|price_like,3614,3614,2851,11,0.7888765910348644
A7LS14_A,basis_premium_like|volatility_like,3614,3614,2851,11,0.7888765910348644
A7LS14_A,basis_premium_like|positioning_like,3613,3613,2850,11,0.7888181566565181
A7LS14_A,basis_premium_like,4117,4117,2788,12,0.6771921301918873
A7LS14_C,listing_age_like|liquidity_like,2844,2844,2674,6,0.940225035161744
A7LS14_C,open_interest_like|positioning_like,2813,2813,2579,11,0.9168147884820477
A7LS14_C,open_interest_like|taker_flow_like,2813,2813,2579,11,0.9168147884820477
A7LS14_C,positioning_like|taker_flow_like,2813,2813,2579,11,0.9168147884820477
A7LS14_C,positioning_like|basis_premium_like,2845,2845,2242,11,0.78804920913884
A7LS14_C,open_interest_like|funding_state_like,2845,2845,2197,11,0.772231985940246
A7LS14_C,funding_state_like|basis_premium_like,2844,2844,1892,11,0.6652601969057665
A7LS14_D,volatility_like|liquidity_like,1994,1994,1838,5,0.921765295887663
A7LS14_D,placebo|price_like,1893,1893,1747,5,0.9228737453777074
A7LS14_D,placebo|basis_premium_like,1918,1918,1504,5,0.7841501564129302
A7LS14_C,listing_age_like|basis_premium_like,1637,1637,1343,6,0.8204031765424558
A7LS14_B,open_interest_like,1073,1073,985,9,0.9179869524697111
A7LS14_D,low_prior_axes|price_like,1994,1994,965,5,0.4839518555667001
A7LS14_C,open_interest_like|regime_state,2546,2546,924,6,0.3629222309505106
A7LS14_D,regime_state|price_like,1991,1991,834,5,0.418884982420894
A7LS14_D,low_prior_axes|basis_premium_like,1994,1994,821,5,0.41173520561685056
A7LS14_B,taker_flow_like,856,856,782,9,0.9135514018691588
A7LS14_B,funding_state_like,1073,1073,766,9,0.7138863000931966
A7LS14_B,listing_age_like,568,568,540,6,0.9507042253521126
A7LS14_B,open_interest_like|listing_age_like,569,569,537,6,0.9437609841827768
A7LS14_A,liquidity_like,576,576,536,1,0.9305555555555556
A7LS14_A,positioning_like,576,576,536,1,0.9305555555555556
A7LS14_B,positioning_like|listing_age_like,569,569,536,6,0.9420035149384886
A7LS14_B,liquidity_like|listing_age_like,568,568,535,6,0.9419014084507042
A7LS14_B,price_like|listing_age_like,569,569,533,6,0.9367311072056239
A7LS14_B,taker_flow_like|listing_age_like,568,568,532,6,0.9366197183098591
A7LS14_B,volatility_like|listing_age_like,568,568,532,6,0.9366197183098591
A7LS14_B,open_interest_like|positioning_like,569,569,516,8,0.9068541300527241
A7LS14_B,open_interest_like|liquidity_like,569,569,515,8,0.9050966608084359
A7LS14_B,open_interest_like|taker_flow_like,569,569,515,8,0.9050966608084359
A7LS14_B,open_interest_like|volatility_like,569,569,515,8,0.9050966608084359
A7LS14_B,positioning_like,569,569,515,8,0.9050966608084359
A7LS14_B,positioning_like|liquidity_like,569,569,515,8,0.9050966608084359
A7LS14_B,positioning_like|taker_flow_like,569,569,515,8,0.9050966608084359
A7LS14_B,positioning_like|volatility_like,569,569,515,8,0.9050966608084359
A7LS14_B,price_like,569,569,515,8,0.9050966608084359
A7LS14_B,price_like|liquidity_like,569,569,515,8,0.9050966608084359
A7LS14_B,price_like|open_interest_like,569,569,515,8,0.9050966608084359
A7LS14_B,price_like|positioning_like,569,569,515,8,0.9050966608084359
A7LS14_B,price_like|taker_flow_like,569,569,515,8,0.9050966608084359
A7LS14_B,price_like|volatility_like,569,569,515,8,0.9050966608084359
A7LS14_B,liquidity_like,568,568,514,8,0.9049295774647887
A7LS14_B,liquidity_like|volatility_like,568,568,514,8,0.9049295774647887
A7LS14_B,taker_flow_like|liquidity_like,568,568,514,8,0.9049295774647887
A7LS14_B,taker_flow_like|volatility_like,568,568,514,8,0.9049295774647887
A7LS14_B,volatility_like,568,568,514,8,0.9049295774647887
A7LS14_B,funding_state_like|listing_age_like,569,569,449,6,0.789103690685413
A7LS14_B,basis_premium_like|open_interest_like,569,569,443,8,0.7785588752196837
A7LS14_B,price_like|basis_premium_like,569,569,443,8,0.7785588752196837
A7LS14_B,basis_premium_like|taker_flow_like,569,569,442,8,0.7768014059753954
A7LS14_B,funding_state_like|open_interest_like,569,569,441,8,0.7750439367311072
A7LS14_B,funding_state_like|positioning_like,569,569,441,8,0.7750439367311072
A7LS14_B,funding_state_like|liquidity_like,569,569,440,8,0.773286467486819
A7LS14_B,funding_state_like|taker_flow_like,569,569,440,8,0.773286467486819
A7LS14_B,funding_state_like|volatility_like,569,569,440,8,0.773286467486819
A7LS14_B,price_like|funding_state_like,569,569,440,8,0.773286467486819
A7LS14_A,volatility_like|volume_volatility_ratio_168h|listing_age_like,390,390,390,4,1.0
A7LS14_B,basis_premium_like|funding_state_like,569,569,381,8,0.6695957820738138
A7LS14_B,basis_premium_like|positioning_like,457,457,351,8,0.7680525164113785
A7LS14_B,basis_premium_like|liquidity_like,457,457,350,8,0.7658643326039387
A7LS14_A,basis_premium_like|age_x_volatility|listing_age_like,312,312,312,3,1.0
A7LS14_A,basis_premium|positioning_flow|listing_age_like,312,312,312,4,1.0
A7LS14_A,volatility_like|volume_volatility_ratio_168h|regime_state,715,715,279,4,0.3902097902097902
A7LS14_B,basis_premium_like,410,410,278,8,0.6780487804878049
A7LS14_A,price_like,288,288,268,1,0.9305555555555556
A7LS14_B,regime_state,973,973,250,7,0.2569373072970195
A7LS14_A,volatility_like|liquidity_rank_active_universe|listing_age_like,234,234,234,3,1.0
A7LS14_A,basis_premium|positioning_flow|regime_state,572,572,229,4,0.40034965034965037
A7LS14_B,basis_premium_like|volatility_like,272,272,222,8,0.8161764705882353
A7LS14_B,basis_premium_like|listing_age_like,272,272,221,6,0.8125
A7LS14_B,price_like|regime_state,569,569,218,6,0.38312829525483305
A7LS14_B,taker_flow_like|regime_state,568,568,217,6,0.38204225352112675
A7LS14_A,volatility_like|volume_volatility_ratio_168h|basis_premium_like,280,280,216,4,0.7714285714285715
A7LS14_A,listing_age_like,234,234,216,1,0.9230769230769231
A7LS14_B,open_interest_like|regime_state,569,569,215,6,0.37785588752196836
A7LS14_A,basis_premium_like|age_x_volatility|regime_state,572,572,212,3,0.3706293706293706
A7LS14_B,volatility_like|regime_state,568,568,208,6,0.36619718309859156
A7LS14_B,listing_age_like|regime_state,568,568,202,6,0.35563380281690143
A7LS14_A,volatility_like,216,216,201,1,0.9305555555555556
A7LS14_B,liquidity_like|regime_state,568,568,200,6,0.352112676056338
A7LS14_B,positioning_like|regime_state,568,568,200,6,0.352112676056338
A7LS14_B,basis_premium_like|regime_state,566,566,185,6,0.32685512367491165
A7LS14_B,funding_state_like|regime_state,569,569,178,6,0.31282952548330406
A7LS14_A,volatility_like|liquidity_rank_active_universe|regime_state,429,429,178,3,0.4149184149184149
A7LS14_A,basis_premium_like|age_x_volatility|basis_premium_like,224,224,174,3,0.7767857142857143
A7LS14_A,basis_premium|positioning_flow|basis_premium_like,224,224,174,4,0.7767857142857143
A7LS14_A,basis_premium|basis_premium|listing_age_like,156,156,156,2,1.0
A7LS14_A,listing_age_like|regime_state|listing_age_like,156,156,156,2,1.0
A7LS14_A,volatility_like|listing_age_like,156,156,156,2,1.0
A7LS14_A,volatility_like|liquidity_rank_active_universe|basis_premium_like,168,168,132,3,0.7857142857142857
A7LS14_A,volatility_like|regime_state,286,286,130,2,0.45454545454545453
A7LS14_A,volatility_like|volume_volatility_ratio_168h|volatility_like,120,120,108,4,0.9
A7LS14_A,basis_premium|basis_premium|regime_state,286,286,102,2,0.35664335664335667
A7LS14_A,listing_age_like|regime_state|regime_state,286,286,99,2,0.34615384615384615
A7LS14_A,volatility_like|basis_premium_like,112,112,96,2,0.8571428571428571
A7LS14_A,listing_age_like|regime_state|basis_premium_like,112,112,90,2,0.8035714285714286
A7LS14_A,basis_premium_like|age_x_volatility|volatility_like,96,96,90,3,0.9375
A7LS14_A,basis_premium|positioning_flow|volatility_like,96,96,90,4,0.9375
A7LS14_A,basis_premium|basis_premium|basis_premium_like,112,112,84,2,0.75
A7LS14_D,low_prior_axes,216,216,81,1,0.375
A7LS14_A,open_interest_like|age_x_liquidity|listing_age_like,78,78,78,1,1.0
A7LS14_A,open_interest_like|liquidity_rank_active_universe|listing_age_like,78,78,78,1,1.0
A7LS14_A,open_interest_like|positioning_like|listing_age_like,78,78,78,1,1.0
A7LS14_A,volatility_like|liquidity_rank_active_universe|volatility_like,72,72,69,3,0.9583333333333334
A7LS14_A,open_interest_like|age_x_liquidity|regime_state,143,143,52,1,0.36363636363636365
A7LS14_A,open_interest_like|liquidity_rank_active_universe|regime_state,143,143,52,1,0.36363636363636365
A7LS14_A,open_interest_like|positioning_like|regime_state,143,143,52,1,0.36363636363636365
A7LS14_A,open_interest_like|positioning_like|basis_premium_like,56,56,48,1,0.8571428571428571
A7LS14_A,volatility_like|volatility_like,48,48,45,2,0.9375
A7LS14_A,open_interest_like|age_x_liquidity|basis_premium_like,56,56,42,1,0.75
A7LS14_A,open_interest_like|liquidity_rank_active_universe|basis_premium_like,56,56,42,1,0.75
A7LS14_A,basis_premium|basis_premium|volatility_like,48,48,42,2,0.875
A7LS14_A,listing_age_like|regime_state|volatility_like,48,48,42,2,0.875
A7LS14_A,volatility_like|volume_volatility_ratio_168h|positioning_like,40,40,38,4,0.95
A7LS14_A,volatility_like|volume_volatility_ratio_168h|liquidity_like,40,40,37,4,0.925
A7LS14_A,basis_premium_like|age_x_volatility|liquidity_like,32,32,30,3,0.9375
A7LS14_A,basis_premium|positioning_flow|liquidity_like,32,32,29,4,0.90625
A7LS14_A,basis_premium|positioning_flow|positioning_like,32,32,29,4,0.90625
A7LS14_A,basis_premium_like|age_x_volatility|positioning_like,32,32,28,3,0.875
A7LS14_A,volatility_like|liquidity_rank_active_universe|liquidity_like,24,24,22,3,0.9166666666666666
A7LS14_A,volatility_like|liquidity_rank_active_universe|positioning_like,24,24,22,3,0.9166666666666666
A7LS14_A,open_interest_like|age_x_liquidity|volatility_like,24,24,21,1,0.875
A7LS14_A,open_interest_like|liquidity_rank_active_universe|volatility_like,24,24,21,1,0.875
A7LS14_A,open_interest_like|positioning_like|volatility_like,24,24,21,1,0.875
A7LS14_A,basis_premium|basis_premium|liquidity_like,16,16,15,2,0.9375
A7LS14_A,basis_premium|basis_premium|positioning_like,16,16,15,2,0.9375
A7LS14_A,listing_age_like|regime_state|positioning_like,16,16,15,2,0.9375
A7LS14_A,listing_age_like|regime_state|liquidity_like,16,16,14,2,0.875
A7LS14_A,volatility_like|liquidity_like,16,16,14,2,0.875
A7LS14_A,volatility_like|positioning_like,16,16,14,2,0.875
A7LS14_A,open_interest_like|age_x_liquidity|liquidity_like,8,8,8,1,1.0
A7LS14_A,open_interest_like|age_x_liquidity|positioning_like,8,8,8,1,1.0
A7LS14_A,open_interest_like|liquidity_rank_active_universe|liquidity_like,8,8,8,1,1.0
A7LS14_A,open_interest_like|liquidity_rank_active_universe|positioning_like,8,8,8,1,1.0
A7LS14_A,open_interest_like|positioning_like|liquidity_like,8,8,7,1,0.875
A7LS14_A,open_interest_like|positioning_like|positioning_like,8,8,7,1,0.875
