blueprint_id,parent_blueprint_id,expression,semantic_pair,motif,parent_label_family,parent_label_horizon_h,approval_tier,approval_score,parent_score,mutation_kind,mutation_detail,authorizes_search,skeleton_key,source_stage,target_shard
a7ls29_007409233d042927,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_mean,3))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,same_type_field_swap,field_swap_positioning_to_global_long_short_account_ratio_mean,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_035463011a84b1df,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(account_position_divergence,3))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,same_type_field_swap,field_swap_positioning_to_account_position_divergence,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_07cd78a7b29152e1,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,48))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,window_grid,window_3_to_48,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_08c83684beb69afe,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(mark_index_basis_bps,168)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,window_grid,window_4_to_168,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_097c7654e8e50f4d,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(mark_index_basis_bps,3)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,window_grid,window_4_to_3,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_098eb02c2e32d9e1,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(top_long_short_account_ratio_mean,3))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,same_type_field_swap,field_swap_positioning_to_top_long_short_account_ratio_mean,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_107c674703249060,a7ls28b_8ce84955ab7545da,"Sign(Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3)))))",basis_premium_like|positioning_like,spread_rank,L0_raw_forward_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,direction_probe,sign,False,basis_premium_like|positioning_like|spread_rank|6bbeefd3b3f0,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_111558bebc760d1e,a7ls28b_8ce84955ab7545da,"Neg(Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3)))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,wrapper_probe,wrap_neg,False,basis_premium_like|positioning_like|spread_rank|db89712891c9,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_13019e16a2ece466,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(mark_index_basis_bps,36)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,window_grid,window_4_to_36,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
a7ls29_15c09587bf13c5a0,a7ls28b_8ce84955ab7545da,"Sub(CSRank(Delta(basis_abs_168h,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))",basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,1,A7LS29_PRODUCTIVE_FAMILY_EXPANSION,1475.682537617339,1475.682537617339,same_type_field_swap,field_swap_basis_to_basis_abs_168h,False,basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,A7LS28B_ACCEPTANCE_PLUS_FIELD_GATE1,a7ls29_prod_s000
