a7ls_arm,semantic_pair,rows,eval_success,activity_ok,median_finite_share,median_nonzero_share,skeleton_count,activity_ok_rate
A7LS_A,basis_premium_like,500,500,433,0.9968326397146254,0.9889453422956016,28,0.866
A7LS_B,basis_premium_like,51,51,34,0.9974742370194212,0.903498523737428,10,0.6666666666666666
A7LS_B,funding_state_like,49,49,42,0.968258026159334,0.9946338090457189,5,0.8571428571428571
A7LS_B,funding_state_like|liquidity_like,2,2,2,0.9703116329766153,0.7844796619159372,2,1.0
A7LS_B,liquidity_like,51,51,47,0.9696630994847404,1.0,5,0.9215686274509803
A7LS_B,listing_age_like,43,43,43,0.9696155370590568,1.0,3,1.0
A7LS_B,listing_age_like|regime_state,8,8,0,0.0,0.0,5,0.0
A7LS_B,open_interest_like,51,51,32,0.997582243361078,0.9999598198341204,9,0.6274509803921569
A7LS_B,positioning_like,50,50,45,0.998414585810543,1.0,5,0.9
A7LS_B,positioning_like|liquidity_like,1,1,1,0.9953943717796274,1.0,1,1.0
A7LS_B,price_like,51,51,31,0.9982005548949664,0.9748751418166816,11,0.6078431372549019
A7LS_B,regime_state,43,43,3,0.0,0.0,3,0.06976744186046512
A7LS_B,taker_flow_like,46,46,40,0.998414585810543,1.0,5,0.8695652173913043
A7LS_B,taker_flow_like|liquidity_like,4,4,4,0.9977962742766548,0.999995036033442,2,1.0
A7LS_B,volatility_like,42,42,38,0.969068569163694,1.0,5,0.9047619047619048
A7LS_B,volatility_like|listing_age_like,8,8,5,0.9635785770907649,1.0,5,0.625
A7LS_C,basis_premium_like,70,70,66,0.99824811732065,0.9996725615289141,3,0.9428571428571428
A7LS_C,basis_premium_like|regime_state,430,430,0,0.0,0.0,18,0.0
A7LS_D,basis_premium_like,70,70,66,0.99824811732065,0.999267992182392,3,0.9428571428571428
A7LS_D,liquidity_like,20,20,20,0.9982243361078083,1.0,2,1.0
A7LS_D,low_prior_axes,3,3,2,0.998921422909235,1.0,1,0.6666666666666666
A7LS_D,low_prior_axes|basis_premium_like,407,407,319,0.8707753666270314,0.9980333930164308,16,0.7837837837837838
