semantic_pair,motif,label_family,portfolio_rows
open_interest_like|positioning_like|regime_state,seed_gated_sign,L3_liquidity_tier_relative_return,1112
basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,390
open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,342
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,332
basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,302
open_interest_like|positioning_like|listing_age_like,seed_sub,L3_liquidity_tier_relative_return,268
basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,267
open_interest_like|positioning_like,safe_div_abs,L7_ranked_future_return,213
open_interest_like|positioning_like|listing_age_like,seed_sub,L7_ranked_future_return,213
basis_premium_like|positioning_like,spread_rank,L7_ranked_future_return,201
basis_premium_like|positioning_like,signed_spread,L7_ranked_future_return,143
basis_premium_like|positioning_like,sub,L5_vol_adjusted_return,128
open_interest_like|positioning_like|regime_state,seed_gated_sign,L7_ranked_future_return,79
basis_premium_like|positioning_like,safe_div_abs,L7_ranked_future_return,67
open_interest_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,65
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L0_raw_forward_return,46
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,40
basis_premium_like|positioning_like,safe_div_abs,L3_liquidity_tier_relative_return,36
basis_premium_like|positioning_like,spread_rank,L3_liquidity_tier_relative_return,29
basis_premium_like|positioning_like,safe_div_abs,L0_raw_forward_return,26
basis_premium_like|positioning_like,signed_spread,L3_liquidity_tier_relative_return,26
open_interest_like|positioning_like,safe_div_abs,L0_raw_forward_return,26
basis_premium_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,20
basis_premium_like|positioning_like,sub,L7_ranked_future_return,20
open_interest_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,20
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L1_cross_sectional_relative_return,18
open_interest_like|positioning_like,smooth_mul,L7_ranked_future_return,18
open_interest_like|positioning_like|listing_age_like,seed_sub,L1_cross_sectional_relative_return,15
open_interest_like|positioning_like|listing_age_like,seed_sub,L0_raw_forward_return,14
open_interest_like|positioning_like|regime_state,seed_gated_sign,L1_cross_sectional_relative_return,12
open_interest_like|positioning_like|regime_state,seed_gated_sign,L0_raw_forward_return,9
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L3_liquidity_tier_relative_return,9
basis_premium_like|positioning_like,mean_reversion_gate,L5_vol_adjusted_return,8
basis_premium_like|positioning_like,sub,L0_raw_forward_return,8
basis_premium_like|positioning_like,signed_spread,L0_raw_forward_return,8
basis_premium_like|positioning_like,sub,L3_liquidity_tier_relative_return,8
open_interest_like|positioning_like,smooth_mul,L0_raw_forward_return,6
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L1_cross_sectional_relative_return,5
open_interest_like|positioning_like,safe_div_abs,L3_liquidity_tier_relative_return,5
basis_premium_like|positioning_like,spread_rank,L0_raw_forward_return,5
basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,5
open_interest_like|positioning_like,smooth_mul,L1_cross_sectional_relative_return,5
basis_premium_like|positioning_like,signed_spread,L1_cross_sectional_relative_return,4
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L0_raw_forward_return,4
basis_premium_like|positioning_like,sub,L1_cross_sectional_relative_return,3
open_interest_like|positioning_like,smooth_mul,L3_liquidity_tier_relative_return,3
basis_premium_like|positioning_like,mean_reversion_gate,L7_ranked_future_return,1
basis_premium_like|positioning_like,mean_reversion_gate,L0_raw_forward_return,1
basis_premium_like|positioning_like,mean_reversion_gate,L1_cross_sectional_relative_return,1
