semantic_pair,motif,label_family,selected_rows
open_interest_like|positioning_like|regime_state,seed_gated_sign,L3_liquidity_tier_relative_return,62
open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,54
basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,41
basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,38
basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,32
open_interest_like|positioning_like|listing_age_like,seed_sub,L7_ranked_future_return,29
open_interest_like|positioning_like|regime_state,seed_gated_sign,L7_ranked_future_return,29
basis_premium_like|positioning_like,sub,L5_vol_adjusted_return,27
open_interest_like|positioning_like|listing_age_like,seed_sub,L3_liquidity_tier_relative_return,26
open_interest_like|positioning_like,safe_div_abs,L7_ranked_future_return,18
open_interest_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,15
open_interest_like|positioning_like|listing_age_like,seed_sub,L0_raw_forward_return,8
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,8
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L0_raw_forward_return,7
open_interest_like|positioning_like|listing_age_like,seed_sub,L1_cross_sectional_relative_return,6
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,4
open_interest_like|positioning_like|regime_state,seed_gated_sign,L1_cross_sectional_relative_return,4
basis_premium_like|positioning_like,mean_reversion_gate,L5_vol_adjusted_return,3
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L3_liquidity_tier_relative_return,2
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L1_cross_sectional_relative_return,2
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L1_cross_sectional_relative_return,2
open_interest_like|positioning_like,safe_div_abs,L0_raw_forward_return,2
open_interest_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,2
open_interest_like|positioning_like,smooth_mul,L7_ranked_future_return,2
basis_premium_like|positioning_like,sub,L7_ranked_future_return,1
open_interest_like|positioning_like|regime_state,seed_gated_sign,L0_raw_forward_return,1
