a7ls_arm,semantic_pair,rows,motif_count,skeleton_count,median_materialization_score
A7LS_A,basis_premium_like,303,2,24,0.9942723189356745
A7LS_B,liquidity_like,47,1,5,0.9817978596908442
A7LS_B,positioning_like,45,1,5,0.9991486325802615
A7LS_B,listing_age_like,43,1,3,0.9817693222354341
A7LS_B,funding_state_like,42,1,5,0.9589356420927467
A7LS_B,taker_flow_like,40,1,5,0.9991486325802615
A7LS_B,volatility_like,38,1,5,0.981512485136742
A7LS_B,basis_premium_like,34,1,9,0.9938353996349631
A7LS_B,open_interest_like,32,1,9,0.998862761643794
A7LS_B,price_like,31,1,9,0.9987389475508093
A7LS_B,volatility_like|listing_age_like,5,1,5,0.9812110582639715
A7LS_B,taker_flow_like|liquidity_like,4,1,2,0.9986761756501598
A7LS_B,regime_state,3,1,2,0.9817978596908442
A7LS_B,funding_state_like|liquidity_like,2,1,2,0.895978844552344
A7LS_B,positioning_like|liquidity_like,1,1,1,0.9972366230677765
A7LS_C,basis_premium_like,66,1,3,0.9985333922416556
A7LS_D,low_prior_axes|basis_premium_like,201,1,16,0.9791844291707574
A7LS_D,basis_premium_like,65,1,3,0.9985285374554103
A7LS_D,liquidity_like,20,1,2,0.998934601664685
A7LS_D,low_prior_axes,2,1,1,0.9994695240582159
