semantic_pair,decision,rows
basis_premium_like,HOLD_A7LS3HRS001_PRE_MAY_UNSTABLE,2354
basis_premium_like,HOLD_A7LS3HRS003_PRE_MAY_UNSTABLE,2300
basis_premium_like,HOLD_A7LS3HRS002_PRE_MAY_UNSTABLE,2146
basis_premium_like,HOLD_A7LS3HRS000_PRE_MAY_UNSTABLE,1922
basis_premium_like,HOLD_A7LS3HRS008_PRE_MAY_UNSTABLE,1566
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS012_PRE_MAY_UNSTABLE,1442
basis_premium_like,HOLD_A7LS3HRS015_PRE_MAY_UNSTABLE,1140
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS009_PRE_MAY_UNSTABLE,1104
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS010_PRE_MAY_UNSTABLE,1072
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS015_PRE_MAY_UNSTABLE,940
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS011_PRE_MAY_UNSTABLE,898
basis_premium_like,HOLD_A7LS3HRS010_PRE_MAY_UNSTABLE,844
positioning_like,HOLD_A7LS3HRS005_PRE_MAY_UNSTABLE,674
taker_flow_like,HOLD_A7LS3HRS005_PRE_MAY_UNSTABLE,604
taker_flow_like,HOLD_A7LS3HRS004_PRE_MAY_UNSTABLE,576
basis_premium_like,HOLD_A7LS3HRS008_CONTROL_DOMINATED,570
basis_premium_like,HOLD_A7LS3HRS000_CONTROL_DOMINATED,464
basis_premium_like,HOLD_A7LS3HRS006_PRE_MAY_UNSTABLE,450
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS009_CONTROL_DOMINATED,432
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS011_CONTROL_DOMINATED,404
basis_premium_like,HOLD_A7LS3HRS002_CONTROL_DOMINATED,398
positioning_like,HOLD_A7LS3HRS004_PRE_MAY_UNSTABLE,384
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS012_CONTROL_DOMINATED,380
price_like,HOLD_A7LS3HRS006_PRE_MAY_UNSTABLE,370
open_interest_like,HOLD_A7LS3HRS005_PRE_MAY_UNSTABLE,356
