blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,source_file,shard,followup_score
a7ls5_4616845b0b6bf159,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,L5_vol_adjusted_return,4,-1.0,3,True,0.492405742843467,0.1391792991169378,True,0.8526160823945341,2.3034674945928035,True,0.2735114070752542,0.2729114070752542,0.2719114070752542,95.46666666666668,A7LS5S001_NUMERIC_CLUE,704,-0.0152679536515713,-0.7346261281119532,-0.2453531057260181,-1.1518736274135262,0.4829545454545454,716,-0.0499445943469194,-2.6999686486417835,-0.8526160823945341,-3.055158664730524,0.4608938547486033,716,-0.0966461980478178,-3.1718341345237664,-1.5438659885563188,-2.3034674945928035,0.4092178770949721,716,-0.2739114070752542,-6.032952949424892,-3.1393728728015606,-3.6093186054930806,0.4120111731843575,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,464.1535994024381
a7ls5_093c274318822859,"Delta(mark_index_basis_bps,2)",basis_premium_like,single,L5_vol_adjusted_return,24,-1.0,3,True,0.8852201850171003,0.1655485597036653,True,0.3359136489520894,2.119775533823057,True,0.2823626229820661,0.2817626229820661,0.2807626229820661,92.8,A7LS5S000_NUMERIC_CLUE,694,-0.0755230763843707,-1.4990668915538985,-0.2746742325430641,-1.8686682051506416,0.4682997118155619,696,-0.0643055486108917,-1.349360888288622,-0.3359136489520894,-2.119775533823057,0.4640804597701149,696,-0.214244066756433,-3.392030909350317,-0.8317508191506213,-2.810864147319532,0.4396551724137931,696,-0.2827626229820661,-2.4611718355845618,-0.5392877652628694,-2.517298796364679,0.4655172413793103,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,459.9089397178444
a7ls5_2a2b7e5d4d298995,"Delta(mark_trade_basis_bps,168)",basis_premium_like,single,L5_vol_adjusted_return,8,1.0,3,True,0.7010974768462495,0.0866580181059283,True,1.3241970551691802,0.107185966035036,True,0.2342846570164058,0.2336846570164058,0.2326846570164058,94.93333333333334,A7LS5S000_NUMERIC_CLUE,544,0.0043937239372389,0.1670394385757529,0.0367465590830829,-1.6999563940314888,0.5,712,0.1167999512113225,4.49631205293415,1.3241970551691802,0.1800608165339592,0.5828651685393258,712,0.2488371436429327,6.390855739387323,2.197596126927308,1.0745636520881032,0.6334269662921348,712,0.2346846570164058,4.365674880705649,1.9489603324507876,0.107185966035036,0.5674157303370787,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,349.3401134037442
a7ls5_093c274318822859,"Delta(mark_index_basis_bps,2)",basis_premium_like,single,L5_vol_adjusted_return,8,-1.0,3,True,0.8617422411119432,0.1067204300199819,True,0.8152035537394935,2.560371706826518,True,0.2115012577955557,0.2109012577955557,0.2099012577955557,94.93333333333334,A7LS5S000_NUMERIC_CLUE,710,-0.0484687329223679,-1.6981061301354277,-0.6500483213651895,-1.59060525331367,0.4676056338028169,712,-0.0924105089892466,-3.0660848860475576,-0.8152035537394935,-2.9681517451001334,0.4241573033707865,712,-0.1160595936062966,-3.026420327961792,-0.8896876342099529,-3.690986271662222,0.449438202247191,712,-0.2119012577955557,-3.050107294775409,-1.356963572828312,-2.560371706826518,0.4578651685393258,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,333.0078354111698
a7ls5_35d2fb6b43e8b1d2,"TSRank(mark_index_basis_bps,168)",basis_premium_like,single,L5_vol_adjusted_return,4,-1.0,3,True,0.97653683106407,0.100958164568628,True,0.6531103694326705,1.6952320818773037,True,0.2284978831147891,0.2278978831147891,0.2268978831147891,95.46666666666668,A7LS5S000_NUMERIC_CLUE,685,-0.0263183954878991,-1.314009923415915,-0.7676380587996895,-1.1369568643190466,0.4598540145985401,716,-0.0298848245333121,-1.4394800672556878,-0.6531103694326705,-1.6952320818773037,0.4636871508379888,716,-0.152758455385947,-5.1012799673380655,-2.683878540844977,-3.5302283859029107,0.4120111731843575,716,-0.2288978831147891,-6.2499554242198805,-3.068900219944505,-4.031160163404895,0.4343575418994413,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,331.8975966588874
a7ls5_35a1ae6f13bfd9a5,"TSRank(mark_index_basis_bps,24)",basis_premium_like,single,L5_vol_adjusted_return,4,-1.0,3,True,0.72390924065298,0.0838282221116948,True,0.2969766370757456,2.622654388991804,True,0.1928676126847845,0.1922676126847845,0.1912676126847845,95.46666666666668,A7LS5S000_NUMERIC_CLUE,648,-0.0271065597090296,-1.3537107070874916,-0.8218195541604767,-1.3651658610607689,0.4799382716049383,689,-0.0284788075741028,-1.3081595727621813,-0.2969766370757456,-2.622654388991804,0.4383164005805515,701,-0.1282460966969452,-4.312356892661606,-2.141412348370084,-3.29171719719762,0.4051355206847361,707,-0.1932676126847845,-5.1967390463669085,-2.577737095345624,-3.185717966424185,0.4356435643564356,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,305.3275651201731
a7ls5_75fcafa367ab667d,"Delta(mark_index_basis_bps,1)",basis_premium_like,single,L5_vol_adjusted_return,8,-1.0,3,True,0.9896803246107077,0.1033234641519401,True,0.5918073083971804,2.256916344286432,True,0.1852564477919629,0.1846564477919629,0.1836564477919629,94.93333333333334,A7LS5S001_NUMERIC_CLUE,711,-0.0343349374028047,-1.2964843762769531,-0.288674972706573,-1.703932455476024,0.4936708860759494,712,-0.0869793935891047,-2.9002613241480737,-1.0832049346261643,-3.06810189724523,0.4424157303370786,712,-0.0886279454833791,-2.3250919182850365,-0.5918073083971804,-2.724180557453245,0.4339887640449438,712,-0.1856564477919629,-2.961401835499631,-1.2063835421628992,-2.256916344286432,0.4648876404494382,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,290.26879582711865
a7ls5_4616845b0b6bf159,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,L5_vol_adjusted_return,1,-1.0,3,True,0.1787906659525784,0.0564651339156335,True,6.677055460804123,6.677055460804123,True,0.1441193426450399,0.1435193426450399,0.1425193426450399,95.86666666666666,A7LS5S001_NUMERIC_CLUE,707,-0.0168760752447705,-1.543488693237755,-1.543488693237755,-1.543488693237755,0.4724186704384724,719,-0.0789389653816291,-8.561757188535868,-8.561757188535868,-8.561757188535868,0.3657858136300417,719,-0.1111623860848275,-8.275674237911344,-8.275674237911344,-8.275674237911344,0.344923504867872,719,-0.1445193426450399,-6.677055460804123,-6.677055460804123,-6.677055460804123,0.3963838664812239,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,287.7824654262197
a7ls5_527fcaeaacc0b31d,"TSRank(mark_index_basis_bps,72)",basis_premium_like,single,L5_vol_adjusted_return,1,-1.0,3,True,0.3489516057217415,0.0418024110285608,True,7.153835874323683,7.153835874323683,True,0.1432864336280382,0.1426864336280382,0.1416864336280382,95.86666666666666,A7LS5S001_NUMERIC_CLUE,686,-0.0331163702755483,-3.095236013596956,-3.095236013596956,-3.095236013596956,0.4533527696793002,715,-0.0734305199796637,-7.448872417813611,-7.448872417813611,-7.448872417813611,0.351048951048951,718,-0.1126617013480753,-8.500873382501313,-8.500873382501313,-8.500873382501313,0.3495821727019498,719,-0.1436864336280382,-7.153835874323683,-7.153835874323683,-7.153835874323683,0.3796940194714882,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,255.7475199587485
a7ls5_35d2fb6b43e8b1d2,"TSRank(mark_index_basis_bps,168)",basis_premium_like,single,L5_vol_adjusted_return,1,-1.0,3,True,0.4641983827463294,0.0516029267311324,True,6.624508193269099,6.624508193269099,True,0.1335007905784367,0.1329007905784367,0.1319007905784367,95.86666666666666,A7LS5S000_NUMERIC_CLUE,688,-0.0332391032537135,-3.005262195188509,-3.005262195188509,-3.005262195188509,0.4462209302325581,719,-0.0705267400078219,-6.691796232941784,-6.691796232941784,-6.691796232941784,0.3560500695410292,719,-0.124366673180979,-9.159123721897732,-9.159123721897732,-9.159123721897732,0.3365785813630041,719,-0.1339007905784367,-6.624508193269099,-6.624508193269099,-6.624508193269099,0.4005563282336578,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,243.70838722820525
