blueprint_id,expression,semantic_pair,motif,skeleton_key,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error,source_file,shard
a7ls6_005008d1e6ae6cf6,"Delta(basis_abs_168h,24)",basis_premium_like,delta,skel_776f69f0539aec6c,True,0.9316643671319844,1.0,True,-58.47364206893578,74.15173241401149,1.5397240664253542,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_0361b2bf23977b57,"Sub(Mean(premium_abs_168h,1),Mean(premium_abs_168h,24))",basis_premium_like,spread_short_long,skel_3fa5a1357f393baf,True,0.0,0.0,False,,,,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_037d58a2543faacb,"ZScore(Mean(mark_index_basis_bps,1))",basis_premium_like,zmean,skel_c783e126c18af69d,True,0.0,0.0,False,,,,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_03ac518415c21e87,"ZScore(Mean(premium_close_bps,8))",basis_premium_like,zmean,skel_ad4051787206f0e9,True,0.9983418551383328,1.0,True,-9.67936048917666,7.821096452406182,0.9947738763478384,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_052b6db4ade8283e,"Delta(mark_index_basis_bps,1)",basis_premium_like,delta,skel_833160a92d493ba5,True,0.9989978988565452,0.9985376537240748,True,-2248.424744016522,1862.7352586359636,13.925636201539389,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_08c0b1da9d4f4289,"ZScore(Mean(basis_abs_168h,8))",basis_premium_like,zmean,skel_b63dbf9d919b69ba,True,0.9335231576669192,1.0,True,-3.184698348003657,9.146466703022629,0.9947742010287473,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_091574d204169dd0,"Delta(mark_trade_basis_bps,168)",basis_premium_like,delta,skel_387b4ee45e0f14aa,True,0.981711935937669,0.8968081735008818,True,-519.301290014963,518.3183812794734,9.999727976214988,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_09c07f38ba45422a,"Delta(basis_abs_168h,168)",basis_premium_like,delta,skel_a7431acb0dccabdf,True,0.9159193178948888,1.0,True,-92.58744706265674,110.90879242274193,5.109061525076834,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_0b1dbff12a9e3b10,"ZScore(Mean(premium_abs_168h,12))",basis_premium_like,zmean,skel_7761083e901a76c3,True,0.9330587418389064,1.0,True,-3.9701166092982674,9.247752210771155,0.994774022015895,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_0b897abc5f16fef4,"ZScore(Mean(mark_trade_basis_bps,48))",basis_premium_like,zmean,skel_df81b67dfa112df6,True,0.997511091873174,1.0,True,-8.459407434857328,8.642210376136452,0.9947780321927768,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_12801dd90c914728,"Delta(basis_abs_168h,8)",basis_premium_like,delta,skel_c912fcf7f624990f,True,0.9334138170472172,1.0,True,-58.42410547248853,74.06591388498951,0.7013207640843674,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
a7ls6_134601c431783a89,"ZScore(Mean(basis_abs_168h,168))",basis_premium_like,zmean,skel_24058cdff1c8bb52,True,0.947518756988782,1.0,True,-2.887796339917659,8.642867351267197,0.994775054889246,,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_materialization_metrics.csv,s000
