mechanism,quality_tier,rows
realized_vol_x_premium_basis,Q2_weak_control_clean,7
volatility_liquidity_state,Q1_medium,6
listing_lifecycle_state,Q1_medium,5
realized_vol_state,Q2_weak_control_clean,4
volatility_liquidity_x_listing_lifecycle,Q1_medium,4
volatility_liquidity_state,Q2_weak_control_clean,2
listing_lifecycle_state,Q2_weak_control_clean,2
volatility_liquidity_x_listing_lifecycle,Q2_weak_control_clean,2
volatility_liquidity_x_premium_basis,Q1_medium,2
positioning_flow_state,Q1_medium,1
basis_premium_state,Q0_high,1
positioning_x_basis_premium,Q2_weak_control_clean,1
positioning_flow_state,Q2_weak_control_clean,1
volatility_liquidity_x_premium_basis,Q0_high,1
volatility_liquidity_x_premium_basis,Q2_weak_control_clean,1
