operator_motif,tier,timing_contract_required,nan_inf_contract_required,may_dependency_allowed
Rank,Tier0_current_kernel,True,True,False
ZScore,Tier0_current_kernel,True,True,False
MulRankRank,Tier0_current_kernel,True,True,False
MulRankZScore,Tier0_current_kernel,True,True,False
AddZScore,Tier_expansion_requires_L1_kernel_path,True,True,False
SubRank,Tier_expansion_requires_L1_kernel_path,True,True,False
SafeDivZScore,Tier_expansion_requires_L1_kernel_path,True,True,False
ClipRank,Tier_expansion_requires_L1_kernel_path,True,True,False
WinsorZScore,Tier_expansion_requires_L1_kernel_path,True,True,False
AbsZScore,Tier_expansion_requires_L1_kernel_path,True,True,False
NegRank,Tier_expansion_requires_L1_kernel_path,True,True,False
TSMeanRank,Tier_expansion_requires_L1_kernel_path,True,True,False
TSStdZScore,Tier_expansion_requires_L1_kernel_path,True,True,False
TSRankMul,Tier_expansion_requires_L1_kernel_path,True,True,False
DeltaRank,Tier_expansion_requires_L1_kernel_path,True,True,False
DecayZScore,Tier_expansion_requires_L1_kernel_path,True,True,False
RollingMinRank,Tier_expansion_requires_L1_kernel_path,True,True,False
RollingMaxRank,Tier_expansion_requires_L1_kernel_path,True,True,False
HorizonSpread,Tier_expansion_requires_L1_kernel_path,True,True,False
SmoothInteraction,Tier_expansion_requires_L1_kernel_path,True,True,False
ResidualizeVsFundingCore,Tier_expansion_requires_L1_kernel_path,True,True,False
ResidualizeVsCore4,Tier_expansion_requires_L1_kernel_path,True,True,False
CrossSymbolRank,Tier_expansion_requires_L1_kernel_path,True,True,False
RegimeMaskNonMay,Tier_expansion_requires_L1_kernel_path,True,True,False
