feature_family_set,deep_count,post_may_eligible_count,may_vetoed_count,pre_may_near_miss_count,rejected_count,avg_rank_score,avg_raw_may,avg_residual_funding_may,avg_raw_recent,avg_cost20_recent,avg_lag1_recent,avg_min_fold,avg_positive_fold_rate,post_may_eligible_rate,summary_name
P3_trade_size,24,6,14,2,2,0.6137527183235828,2.0403259084767407,2.6900950124244503,1.8285147975917786,1.7288886654702713,1.8576551109489339,-0.26403783310485973,0.8807692307692307,0.25,feature_family
P0_price_return,15,3,12,0,0,1.7274294715290597,-7.5346278234226105,-4.140195177765417,3.626971559355998,3.405984956303672,3.575656326490136,0.7485419577106115,0.9846153846153847,0.2,feature_family
P14_horizon_spread,24,1,22,1,0,1.442384041079061,-10.857232570028481,-7.382218731195756,3.1499333744380418,2.9929388329713316,3.119632847513078,0.47723811780035524,0.9692307692307692,0.041666666666666664,feature_family
P7_cross_symbol_relative,15,1,9,2,3,0.16500855538534925,-3.7006374404649134,-2.4309276587420614,1.4677760310646883,1.1678325887379617,1.4595382387552218,-0.7268700162886386,0.9005128205128206,0.06666666666666667,feature_family
P2_liquidity,6,1,5,0,0,0.3473620908463722,3.0386791093496885,4.433059931652648,1.2538196677050666,1.2035388551360109,1.2261492059232568,-0.4817426594220317,0.8307692307692308,0.16666666666666666,feature_family
P5_basis_premium,6,1,5,0,0,2.1901498213428083,-6.866015632230666,-5.997541024721762,4.67863131120462,4.482410460147805,4.638676722611855,1.1957647081331453,1.0,0.16666666666666666,feature_family
P1_range_volatility,33,0,33,0,0,1.914392083620743,-11.668437477399598,-8.43749090215411,3.4900862539529065,3.326817819405202,3.45619608327595,0.9252103441352132,0.9934731934731935,0.0,feature_family
P11_volatility_basis,24,0,23,0,1,1.8099436589827447,-7.3525264076761365,-4.336453280358527,3.114435997467146,2.9572306781388202,3.114703382482221,0.8565865722629006,0.9576923076923077,0.0,feature_family
P10_price_liquidity,18,0,17,1,0,0.8293481439187724,-6.914654923313166,-6.495796593585758,2.6803762416630508,2.518164875772825,2.6898077676579444,-0.10801334497528092,0.9418803418803419,0.0,feature_family
P12_liquidity_flow,6,0,5,1,0,-0.3003531773060994,-6.274881527533843,-6.058366460169381,3.1440974725059228,3.038567884759663,3.1357861003128424,-1.0821571219653099,0.7846153846153846,0.0,feature_family
P15_open_ast_diverse,6,0,6,0,0,2.7180899215300016,-12.718786253926952,-8.518498405070165,4.073365347690891,3.933319803911438,4.063280418374759,1.7215809815065037,1.0,0.0,feature_family
P6_funding_observable,6,0,6,0,0,0.5505795615717483,-3.921045130286121,-3.6789889722309304,1.339712864485865,1.1167009077408336,1.305880163071425,-0.36366274293472234,0.9205128205128207,0.0,feature_family
P9_price_basis,6,0,6,0,0,1.1854323367300978,-3.852761528567925,-2.7737453775610437,2.4849771572249586,2.2818616309559094,2.476327532848764,0.23018464959640328,0.9615384615384616,0.0,feature_family
P8_regime_state,3,0,3,0,0,2.9498324528738014,-16.80801002678616,-10.393224828582442,5.669437296485612,5.625300199115142,5.675857530432089,1.9509235343303029,1.0,0.0,feature_family
