artifact_type,stage_id,path,commit,commit_subject,bytes
runtime,A7AA-0,runtime/a7aa0_label_feature_response_contract/a7aa0_authorization_matrix.json,fa3b2d7,add crypto a7aa primitive response map,342
runtime,A7AA-0,runtime/a7aa0_label_feature_response_contract/a7aa0_candidate_primitive_fields.csv,fa3b2d7,add crypto a7aa primitive response map,2651
runtime,A7AA-0,runtime/a7aa0_label_feature_response_contract/a7aa0_label_family_contract.csv,fa3b2d7,add crypto a7aa primitive response map,877
runtime,A7AA-0,runtime/a7aa0_label_feature_response_contract/a7aa0_manifest.json,fa3b2d7,add crypto a7aa primitive response map,701
runtime,A7AA-0,runtime/a7aa0_label_feature_response_contract/a7aa0_negative_control_contract.csv,fa3b2d7,add crypto a7aa primitive response map,190
runtime,A7AA-0,runtime/a7aa0_label_feature_response_contract/a7aa0_transform_contract.csv,fa3b2d7,add crypto a7aa primitive response map,252
runtime,A7AA-1,runtime/a7aa1_primitive_response_map/a7aa1_authorization_matrix.json,fa3b2d7,add crypto a7aa primitive response map,361
runtime,A7AA-1,runtime/a7aa1_primitive_response_map/a7aa1_decision_counts.csv,fa3b2d7,add crypto a7aa primitive response map,144
runtime,A7AA-1,runtime/a7aa1_primitive_response_map/a7aa1_field_family_label_summary.csv,fa3b2d7,add crypto a7aa primitive response map,5619
runtime,A7AA-1,runtime/a7aa1_primitive_response_map/a7aa1_manifest.json,fa3b2d7,add crypto a7aa primitive response map,838
runtime,A7AA-1,runtime/a7aa1_primitive_response_map/a7aa1_primitive_response_candidates.csv,fa3b2d7,add crypto a7aa primitive response map,7764
runtime,A7AA-1,runtime/a7aa1_primitive_response_map/a7aa1_primitive_response_map.csv,fa3b2d7,add crypto a7aa primitive response map,387125
runtime,A7AA-2,runtime/a7aa2_feature_role_classification/a7aa2_authorization_matrix.json,fa3b2d7,add crypto a7aa primitive response map,347
runtime,A7AA-2,runtime/a7aa2_feature_role_classification/a7aa2_family_role_summary.csv,fa3b2d7,add crypto a7aa primitive response map,285
runtime,A7AA-2,runtime/a7aa2_feature_role_classification/a7aa2_feature_role_ledger.csv,fa3b2d7,add crypto a7aa primitive response map,3149
runtime,A7AA-2,runtime/a7aa2_feature_role_classification/a7aa2_manifest.json,fa3b2d7,add crypto a7aa primitive response map,643
runtime,A7AA-2,runtime/a7aa2_feature_role_classification/a7aa2_selector_rewrite_seed_policy.json,fa3b2d7,add crypto a7aa primitive response map,1168
runtime,A7AA-2,runtime/a7aa2_feature_role_classification/a7aa2_selector_seed_fields.csv,fa3b2d7,add crypto a7aa primitive response map,1077
runtime,A7AA-3,runtime/a7aa3_selector_rewrite_contract/a7aa3_allowed_selector_seed_fields.csv,fa3b2d7,add crypto a7aa primitive response map,1077
runtime,A7AA-3,runtime/a7aa3_selector_rewrite_contract/a7aa3_authorization_matrix.json,fa3b2d7,add crypto a7aa primitive response map,356
runtime,A7AA-3,runtime/a7aa3_selector_rewrite_contract/a7aa3_blocked_primary_fields_until_response_evidence.csv,fa3b2d7,add crypto a7aa primitive response map,477
runtime,A7AA-3,runtime/a7aa3_selector_rewrite_contract/a7aa3_manifest.json,fa3b2d7,add crypto a7aa primitive response map,528
runtime,A7AA-3,runtime/a7aa3_selector_rewrite_contract/a7aa3_selector_rewrite_contract.json,fa3b2d7,add crypto a7aa primitive response map,1032
report,A7AA0-LABEL-FEATURE-RESPONSE-CONTRACT,reports/CRYPTO_A7AA0_LABEL_FEATURE_RESPONSE_CONTRACT_20260529.md,fa3b2d7,add crypto a7aa primitive response map,9656
report,A7AA1-PRIMITIVE-RESPONSE-MAP,reports/CRYPTO_A7AA1_PRIMITIVE_RESPONSE_MAP_20260529.md,fa3b2d7,add crypto a7aa primitive response map,30938
report,A7AA2-FEATURE-ROLE-CLASSIFICATION,reports/CRYPTO_A7AA2_FEATURE_ROLE_CLASSIFICATION_20260529.md,fa3b2d7,add crypto a7aa primitive response map,15685
report,A7AA3-SELECTOR-REWRITE-CONTRACT,reports/CRYPTO_A7AA3_SELECTOR_REWRITE_CONTRACT_20260529.md,fa3b2d7,add crypto a7aa primitive response map,5612
runtime,A7AB-0,runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_allowed_seed_fields.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,1077
runtime,A7AB-0,runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_authorization_matrix.json,2eca9f5,add crypto a7ab selector rewrite dryrun,354
runtime,A7AB-0,runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_manifest.json,2eca9f5,add crypto a7ab selector rewrite dryrun,935
runtime,A7AB-0,runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_selector_hard_gates.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,429
runtime,A7AB-0,runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_selector_score_features.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,329
runtime,A7AB-1,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_authorization_matrix.json,2eca9f5,add crypto a7ab selector rewrite dryrun,413
runtime,A7AB-1,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_experiment_record.json,2eca9f5,add crypto a7ab selector rewrite dryrun,477
runtime,A7AB-1,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_manifest.json,2eca9f5,add crypto a7ab selector rewrite dryrun,2099
runtime,A7AB-1,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_score_feature_weights.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,329
runtime,A7AB-1,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_seed_scoreboard.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,5059
runtime,A7AB-1,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_selector_hard_gate_audit.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,764
runtime,A7AB-1,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_selector_queue.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,4666
