left,right,intersection_hours,jaccard,left_covered_by_right,right_covered_by_left
forced_deleveraging_proxy,market_crash_like,295,0.8286516853932584,1.0,0.8286516853932584
basis_dislocation_p90,basis_dislocation_p95,4549,0.7188685208596713,0.7188685208596713,1.0
derivative_dislocation_proxy,funding_abs_extreme_p90,229,0.571072319201995,1.0,0.571072319201995
funding_abs_extreme_p90,funding_positive_extreme,227,0.5206422018348624,0.5660847880299252,0.8664122137404581
basis_dislocation_p90,perp_pressure_proxy,3114,0.4920986093552465,0.4920986093552465,1.0
basis_dislocation_p95,perp_pressure_proxy,2459,0.47252113758647196,0.5405583644757089,0.7896596017983302
derivative_dislocation_proxy,funding_positive_extreme,156,0.46567164179104475,0.6812227074235808,0.5954198473282443
basis_dislocation_p90,funding_negative_extreme,4834,0.4015283661433674,0.7639064475347661,0.45841631104789
basis_dislocation_p95,funding_negative_extreme,3751,0.33068853037115403,0.8245768300725435,0.3557136083451873
funding_negative_extreme,session=asia_utc_00_07,3522,0.25099771949828964,0.3339971550497866,0.5024967898416322
pre_funding_1h_proxy,session=late_utc_22_23,876,0.25,0.3333333333333333,0.5
funding_negative_extreme,session=us_utc_14_21,3506,0.24959065992738663,0.332479848269322,0.5002853881278538
funding_negative_extreme,perp_pressure_proxy,2603,0.23543777134587554,0.24684684684684685,0.8359023763648041
funding_negative_extreme,session=europe_utc_08_13,2798,0.21518111205106513,0.2653390232337601,0.5323439878234398
basis_dislocation_p90,session=asia_utc_00_07,2155,0.19272044357002324,0.34054993678887485,0.30746183478384936
basis_dislocation_p90,session=us_utc_14_21,2069,0.18363362030709152,0.32695954487989887,0.2952340182648402
extreme_drawdown_30d_p05,extreme_vol_168h_p95,406,0.17652173913043478,0.21047174701918092,0.5225225225225225
basis_dislocation_p90,session=europe_utc_08_13,1587,0.1587476242872862,0.25079013906447534,0.3019406392694064
funding_boundary_8h_proxy,funding_negative_extreme,1800,0.1582556708282047,0.6846709775580069,0.17069701280227595
basis_dislocation_p95,session=asia_utc_00_07,1578,0.15811623246492987,0.34688942624752694,0.22513910686260521
liquidity_shock_low_volume,session=late_utc_22_23,518,0.15177263404629357,0.2377237264800367,0.295662100456621
forced_deleveraging_proxy,oi_contraction_24h_p10,295,0.14891468955073195,1.0,0.14891468955073195
market_crash_like,oi_contraction_24h_p10,295,0.1444662095984329,0.8286516853932584,0.14891468955073195
basis_dislocation_p95,session=us_utc_14_21,1442,0.14256055363321798,0.3169927456583865,0.2057648401826484
basis_dislocation_p95,session=europe_utc_08_13,1187,0.13773497331167325,0.26093646955374805,0.2258371385083714
perp_pressure_proxy,session=asia_utc_00_07,1198,0.1342296918767507,0.38471419396274886,0.17092309887287774
post_funding_1h_proxy,session=europe_utc_08_13,876,0.125,0.3333333333333333,0.16666666666666666
funding_boundary_8h_proxy,session=europe_utc_08_13,876,0.12498216578684548,0.33320654241156333,0.16666666666666666
session=us_utc_14_21,volume_burst,996,0.12351190476190477,0.1421232876712329,0.4853801169590643
extreme_drawdown_30d_p05,oi_contraction_24h_p10,406,0.1158675799086758,0.21047174701918092,0.2049469964664311
basis_dislocation_p90,extreme_drawdown_30d_p05,824,0.11085698910265035,0.1302149178255373,0.42716433385173663
basis_dislocation_p95,extreme_drawdown_30d_p05,646,0.1107681755829904,0.14200923279841723,0.33488854328667705
oi_contraction_24h_p10,volume_burst,390,0.10705462530881142,0.19687026754164563,0.19005847953216373
perp_pressure_proxy,session=europe_utc_08_13,772,0.10160568570676494,0.24791265253692998,0.14687975646879756
basis_dislocation_p90,funding_boundary_8h_proxy,819,0.10063897763578275,0.12942477876106195,0.3115252947888931
funding_boundary_8h_proxy,session=asia_utc_00_07,877,0.10010272799908686,0.33358691517687333,0.1251248394920816
