field_name,field_role,raw_source,is_independent_source,is_derived,observable_rule,execution_rule,vendor_warning_caveat_required
open_interest,independent_source,Binance Vision futures/um/daily/metrics,True,False,raw observable_time = 5m timestamp + 5min; 1h feature_available_time = hour + 1h,execution_time >= next 1h bar,True
open_interest_value,independent_source,Binance Vision futures/um/daily/metrics,True,False,raw observable_time = 5m timestamp + 5min; 1h feature_available_time = hour + 1h,execution_time >= next 1h bar,True
global_long_short_account_ratio,independent_source,Binance Vision futures/um/daily/metrics,True,False,raw observable_time = 5m timestamp + 5min; 1h feature_available_time = hour + 1h,execution_time >= next 1h bar,True
top_long_short_account_ratio,independent_source,Binance Vision futures/um/daily/metrics,True,False,raw observable_time = 5m timestamp + 5min; 1h feature_available_time = hour + 1h,execution_time >= next 1h bar,True
top_long_short_position_ratio,independent_source,Binance Vision futures/um/daily/metrics,True,False,raw observable_time = 5m timestamp + 5min; 1h feature_available_time = hour + 1h,execution_time >= next 1h bar,True
taker_buy_sell_volume_ratio,independent_source,Binance Vision futures/um/daily/metrics,True,False,raw observable_time = 5m timestamp + 5min; 1h feature_available_time = hour + 1h,execution_time >= next 1h bar,True
open_interest_change_1h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_change_4h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_change_24h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_zscore_168h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_value_change_1h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_value_change_4h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_value_change_24h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_value_zscore_168h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
global_long_short_account_ratio_change_1h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
global_long_short_account_ratio_change_4h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
global_long_short_account_ratio_change_24h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
global_long_short_account_ratio_zscore_168h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_account_ratio_change_1h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_account_ratio_change_4h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_account_ratio_change_24h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_account_ratio_zscore_168h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_position_ratio_change_1h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_position_ratio_change_4h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_position_ratio_change_24h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
top_long_short_position_ratio_zscore_168h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
taker_buy_sell_volume_ratio_change_1h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
taker_buy_sell_volume_ratio_change_4h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
taker_buy_sell_volume_ratio_change_24h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
taker_buy_sell_volume_ratio_zscore_168h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_x_price_move_1h,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open_interest_x_taker_imbalance,derived_metrics_feature,derived from accepted Binance metrics and base panel context,False,True,derived using past-only transforms after 1h metrics availability,execution_time >= next 1h bar,True
open,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
close,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
ret_1,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
ret_6,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
ret_12,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
ret_24,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
realized_vol_12,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
realized_vol_24,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
mark_index_ratio,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
premium_index,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
latest_known_funding_rate,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
taker_imbalance,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
quote_asset_volume,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
number_of_trades,existing_market_context,existing crypto_core12_1h_with_aggtrades_features_v1 panel,False,False,existing A7 panel contract,execution_time >= next 1h bar,False
