accepted_for_next_search_rows,accepted_for_next_search_unique_blueprints,authorizes_alpha_proof,authorizes_shadow_paper_live,automatic_validation_gate,candidate_cap,cost_bps,decision,eval_error_rows,generated_at,hard_reject_rows,hours_per_split,may_stress_hours,next_required,orientation_extension_crash_like_hours,orientation_extension_hours,orientation_extension_hours_requested,orientation_train_hours,queue_path,queue_rows,ranking_policy,reward_alignment,reward_rows,split_metric_rows,stage,synthetic_smoke_pass,top_diagnostic_composite_blueprint_id,top_diagnostic_composite_score,top_pareto_blueprint_id,top_pareto_objective_pass_count,top_pareto_rank,train_crash_like_hours,train_hours_per_split,valid_reward_rows,shard_id,source_file
6,4,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s000\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s000\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,PASS_A7REWARD1_PORTFOLIO_REWARD_LEADERBOARD_BUILT,0,2026-07-02T15:03:43Z,54,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s000.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",60,1920,A7REWARD-1,True,a7search6_4c8a38ddff3fb132,11.954305553072304,a7search6_e7ee64f0ef980aca,13,1,2312,0,6,a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_manifest.json
6,5,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s001\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s001\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,PASS_A7REWARD1_PORTFOLIO_REWARD_LEADERBOARD_BUILT,0,2026-07-02T15:03:27Z,54,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s001.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",60,1920,A7REWARD-1,True,a7search6_5a326bbdc99cd2b9,7.295843464217256,a7search6_5be6987af4a13e67,13,1,2312,0,6,a7v3s0_reward_s001,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s001\reward_runtime\a7reward1_manifest.json
7,6,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s002\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s002\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,PASS_A7REWARD1_PORTFOLIO_REWARD_LEADERBOARD_BUILT,0,2026-07-02T15:03:41Z,57,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s002.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_370b9d993902426e,5.747766619641568,a7search6_8185d7e38fbfef0a,13,1,2312,0,7,a7v3s0_reward_s002,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s002\reward_runtime\a7reward1_manifest.json
3,3,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s003\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s003\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,PASS_A7REWARD1_PORTFOLIO_REWARD_LEADERBOARD_BUILT,0,2026-07-02T15:03:52Z,61,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s003.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_8d74bccf1d25af11,5.306354172855342,a7search6_0159a7544af64b1d,13,1,2312,0,3,a7v3s0_reward_s003,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s003\reward_runtime\a7reward1_manifest.json
1,1,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s004\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s004\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,PASS_A7REWARD1_PORTFOLIO_REWARD_LEADERBOARD_BUILT,0,2026-07-02T15:03:51Z,63,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s004.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_54fa70ba1036adfc,4.915828332533474,a7search6_54fa70ba1036adfc,13,1,2312,0,1,a7v3s0_reward_s004,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s004\reward_runtime\a7reward1_manifest.json
3,3,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s005\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s005\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,PASS_A7REWARD1_PORTFOLIO_REWARD_LEADERBOARD_BUILT,0,2026-07-02T15:03:27Z,61,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s005.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_05d9f75e309aa068,4.391114327073382,a7search6_40090b5c3ec8edfc,13,1,2312,0,3,a7v3s0_reward_s005,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s005\reward_runtime\a7reward1_manifest.json
1,1,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s006\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s006\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,PASS_A7REWARD1_PORTFOLIO_REWARD_LEADERBOARD_BUILT,0,2026-07-02T15:03:28Z,63,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s006.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_9115fe1cea3feca0,3.9780998543899377,a7search6_9115fe1cea3feca0,13,1,2312,0,1,a7v3s0_reward_s006,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s006\reward_runtime\a7reward1_manifest.json
0,0,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s007\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s007\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED,0,2026-07-02T15:03:32Z,64,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s007.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_8a6b8bb92477c988,5.050987363115757,a7search6_e5348ecebaf0f411,12,1,2312,0,0,a7v3s0_reward_s007,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s007\reward_runtime\a7reward1_manifest.json
0,0,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s008\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s008\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED,0,2026-07-02T15:23:48Z,64,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s008.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_5b3ece8dd3a89c6c,4.738549330565668,a7search6_5b3ece8dd3a89c6c,12,1,2312,0,0,a7v3s0_reward_s008,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s008\reward_runtime\a7reward1_manifest.json
0,0,False,False,"{'output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s009\\reward_runtime\\a7reward1_accepted_for_next_search.csv', 'reject_output': 'D:\\HermesWorker\\runtime\\a7search6_selected_full_reward_r1_20260702\\shards\\a7v3s0_reward_s009\\reward_runtime\\a7reward1_validation_gate_rejections.csv', 'required': ['train_sortino > 0', 'train_sortino_overfit_gap not present', 'train_orientation_no_positive_edge not present', 'oos_nonoverlap_floor_not_positive not present', 'min_oos_sortino > 0', 'min_oos_floor_sortino > 0', 'stress_floor_sortino > 0 when stress_n_obs > 0', 'oos_control_dominated_count == 0', 'oos_lag_stale_dominated_count == 0', 'recent_shuffle_control_ratio < 1', 'orientation_sample_too_small not present', 'hard_reject == false', 'gate_pass == true']}",0,5.0,HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED,0,2026-07-02T15:24:06Z,64,720,601,"['run full A7REWARD on company machine for selected queues', 'wire A7REWARD leaderboard into A7RAW/A7LS shard outputs', 'replace numeric-proxy best with multi-objective Pareto reward views in source-of-truth registry']",0,0,0,8784,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\queue_shards\a7v3s0_reward_s009.csv,16,multi_objective_gate_and_pareto; diagnostic_composite_score_is_not_a_search_reward,"{'consistency_penalty': 'penalize train_oos_sortino_gap; hard reject only when train_sortino materially exceeds OOS median', 'oos_components': ['validation_sortino', 'test_sortino', 'recent_sortino', 'min_oos_floor_sortino'], 'primary_train_component': 'train_sortino', 'recent_sortino_role': 'one OOS component, no longer dominant standalone reward'}",64,1920,A7REWARD-1,True,a7search6_b7ee36c015c5d073,5.3798112238916636,a7search6_3d517377c26d5cf5,12,1,2312,0,0,a7v3s0_reward_s009,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s009\reward_runtime\a7reward1_manifest.json
