shard_id,source_file,blueprint_id,semantic_pair,motif,skeleton_key,expression,horizon_h,variant,split,n_obs,net_mean,net_median,net_std,sharpe,sortino,nonoverlap_median_sortino,nonoverlap_floor_sortino,nonoverlap_median_sharpe,nonoverlap_floor_sharpe,max_drawdown,positive_rate,avg_cost,avg_turnover,ic_mean,rankic_mean,capacity_proxy_median_quote_volume,orientation_train_hours,orientation_extension_hours,orientation_extension_crash_like_hours,train_crash_like_hours,may_stress_hours,orientation_extension_requested_hours
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,original,train_2024,8784,7.086019419503649e-06,0.0,0.001168249058701,0.5677000748849677,0.8014252634852035,0.8014252634852035,0.8014252634852035,0.5677000748849677,0.5677000748849677,-0.1133139136568378,0.4956739526411657,2.1858484730172505e-05,0.043716969460345,0.0046005177584135,0.0195873508962958,13403674.05591565,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,original,validation_2025H1,720,3.334594832307011e-05,1.7984690127538944e-05,0.0007548995745571,4.134337677064062,6.3774290485139336,6.3774290485139336,6.3774290485139336,4.134337677064062,4.134337677064062,-0.0139864381376142,0.5083333333333333,3.18986304012346e-05,0.0637972608024692,0.0116578392536699,0.018823779625481,10576636.141235773,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,original,test_2025H2,720,5.3356970876960094e-05,4.810202886860643e-05,0.0008894831591992,5.614427647614205,8.69391296924492,8.69391296924492,8.69391296924492,5.614427647614205,5.614427647614205,-0.0153691544056606,0.5263888888888889,3.0299358603395096e-05,0.0605987172067901,0.0111832368430438,0.0176288321750921,9270859.762224898,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,original,recent_oos_2026JanApr,720,0.0001539505495909,0.0001400761363622,0.0014513787798867,9.927788754918948,14.915625039016536,14.915625039016536,14.915625039016536,9.927788754918948,9.927788754918948,-0.0224169191381439,0.5541666666666667,2.0095787519290166e-05,0.0401915750385803,0.0164714055115177,0.0207153528637699,9101348.221086266,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,original,known_may2026_stress,601,5.877203710646875e-05,1.7544342663040148e-05,0.0009802118039714,5.611808843312718,8.84241756153351,8.84241756153351,8.84241756153351,5.611808843312718,5.611808843312718,-0.0192681854197943,0.5141430948419301,2.2154193242743616e-05,0.0443083864854872,0.0095118356621547,0.0144835865553592,7001854.209251202,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,one_bar_lag,train_2024,8784,3.5203174374115945e-06,-1.4286895845554307e-06,0.0011723419978433,0.2810473900477422,0.3947137575515885,0.3947137575515885,0.3947137575515885,0.2810473900477422,0.2810473900477422,-0.1118830569705052,0.4930555555555556,2.1855495353970827e-05,0.0437109907079416,0.0039195863519006,0.0184148669384524,13393637.721621588,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,one_bar_lag,validation_2025H1,720,2.856741843256756e-05,1.8421441118434832e-06,0.000759407158062,3.52085680692866,5.40525548201902,5.40525548201902,5.40525548201902,3.52085680692866,3.52085680692866,-0.0130969342885709,0.5013888888888889,3.190978250385806e-05,0.0638195650077161,0.0111157934383139,0.0183104691145677,10649180.527838768,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,one_bar_lag,test_2025H2,720,4.758737705278334e-05,2.191447653927308e-05,0.0009040328156222,4.926739793796543,7.983323477594561,7.983323477594561,7.983323477594561,4.926739793796543,4.926739793796543,-0.0175353176113857,0.5208333333333334,3.0294536072530897e-05,0.0605890721450617,0.0091666409560944,0.0149723599752635,9302813.160862276,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,one_bar_lag,recent_oos_2026JanApr,720,0.0001449846347983,0.0001187939059194,0.0014731807588095,9.21123779594836,13.758795084721156,13.758795084721156,13.758795084721156,9.21123779594836,9.21123779594836,-0.0251618040306998,0.5527777777777778,2.0106939621913625e-05,0.0402138792438272,0.0149959193898091,0.0189581841245228,8889893.317570135,8784,0,0,2312,601,0
a7v3s0_reward_s000,D:\HermesWorker\runtime\a7search6_selected_full_reward_r1_20260702\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_split_reward_metrics.csv,a7search6_3cff324a486466a8,open_interest|positioning,safe_div_abs,"SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))","SafeDiv(TSRank(open_interest_value_mean,504),Abs(Mean(account_position_divergence,24)))",1,one_bar_lag,known_may2026_stress,601,5.3086598684755314e-05,2.816796420086205e-05,0.0009820922779633,5.059232723803702,8.00142740068332,8.00142740068332,8.00142740068332,5.059232723803702,5.059232723803702,-0.0206491974911502,0.5174708818635607,2.2142277338694808e-05,0.0442845546773896,0.0084036571366329,0.0135321591324665,6953317.061383481,8784,0,0,2312,601,0
