left,right,split,net_return_corr
a7shadow2_c002|h24,a7shadow2_c006|h24,train_2024,0.622580342855765
a7shadow2_c002|h24,a7shadow2_c006|h24,validation_2025H1,0.9816958320139727
a7shadow2_c002|h24,a7shadow2_c006|h24,test_2025H2,0.9739772478803486
a7shadow2_c002|h24,a7shadow2_c006|h24,recent_oos_2026JanApr,0.9281842719752638
a7shadow2_c002|h24,a7shadow2_c006|h24,known_may2026_stress,0.8531707445529457
a7shadow2_c002|h24,a7shadow2_c007|h4,train_2024,-0.013896300314503236
a7shadow2_c002|h24,a7shadow2_c007|h4,validation_2025H1,0.04645247107650489
a7shadow2_c002|h24,a7shadow2_c007|h4,test_2025H2,0.05267091555734658
a7shadow2_c002|h24,a7shadow2_c007|h4,recent_oos_2026JanApr,0.010699485782939083
a7shadow2_c002|h24,a7shadow2_c007|h4,known_may2026_stress,-0.03727983449241426
a7shadow2_c002|h24,a7shadow2_c007|h8,train_2024,-0.04148787981578313
a7shadow2_c002|h24,a7shadow2_c007|h8,validation_2025H1,0.053559257287200825
a7shadow2_c002|h24,a7shadow2_c007|h8,test_2025H2,0.020035467968013847
a7shadow2_c002|h24,a7shadow2_c007|h8,recent_oos_2026JanApr,0.05327331545512495
a7shadow2_c002|h24,a7shadow2_c007|h8,known_may2026_stress,-0.0320812310136221
a7shadow2_c006|h24,a7shadow2_c007|h4,train_2024,-0.02744702287974769
a7shadow2_c006|h24,a7shadow2_c007|h4,validation_2025H1,0.06299943069015897
a7shadow2_c006|h24,a7shadow2_c007|h4,test_2025H2,0.074382424317611
a7shadow2_c006|h24,a7shadow2_c007|h4,recent_oos_2026JanApr,0.017294220450968848
a7shadow2_c006|h24,a7shadow2_c007|h4,known_may2026_stress,-0.032273430391007316
a7shadow2_c006|h24,a7shadow2_c007|h8,train_2024,-0.048234444954319715
a7shadow2_c006|h24,a7shadow2_c007|h8,validation_2025H1,0.07197781650791615
a7shadow2_c006|h24,a7shadow2_c007|h8,test_2025H2,0.05435691281033341
a7shadow2_c006|h24,a7shadow2_c007|h8,recent_oos_2026JanApr,0.06806171358717804
a7shadow2_c006|h24,a7shadow2_c007|h8,known_may2026_stress,-0.02103452160974058
a7shadow2_c007|h4,a7shadow2_c007|h8,train_2024,0.7107029543453627
a7shadow2_c007|h4,a7shadow2_c007|h8,validation_2025H1,0.6532022003051321
a7shadow2_c007|h4,a7shadow2_c007|h8,test_2025H2,0.6736226330608149
a7shadow2_c007|h4,a7shadow2_c007|h8,recent_oos_2026JanApr,0.7361034448336506
a7shadow2_c007|h4,a7shadow2_c007|h8,known_may2026_stress,0.7078401277167297
