shard_id,path,path_relative,start_row,end_row,rows
a7source10_proxy_s000,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s000.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s000.csv,0,256,256
a7source10_proxy_s001,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s001.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s001.csv,256,512,256
a7source10_proxy_s002,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s002.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s002.csv,512,768,256
a7source10_proxy_s003,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s003.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s003.csv,768,1024,256
a7source10_proxy_s004,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s004.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s004.csv,1024,1280,256
a7source10_proxy_s005,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s005.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s005.csv,1280,1536,256
a7source10_proxy_s006,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s006.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s006.csv,1536,1792,256
a7source10_proxy_s007,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s007.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s007.csv,1792,2048,256
a7source10_proxy_s008,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s008.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s008.csv,2048,2304,256
a7source10_proxy_s009,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s009.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s009.csv,2304,2560,256
a7source10_proxy_s010,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s010.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s010.csv,2560,2816,256
a7source10_proxy_s011,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s011.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s011.csv,2816,3072,256
a7source10_proxy_s012,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s012.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s012.csv,3072,3328,256
a7source10_proxy_s013,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s013.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s013.csv,3328,3584,256
a7source10_proxy_s014,runtime\a7source10_seed_expansion_queue_20260708\proxy_queue_shards\a7source10_proxy_s014.csv,runtime/a7source10_seed_expansion_queue_20260708/proxy_queue_shards/a7source10_proxy_s014.csv,3584,3803,219
