semantic_pair,rows,unique_blueprints,mechanism_keep_probe,control_polluted_near_miss,recent_only_artifact,stress_fragile_artifact,control_dom_rate,lag_stale_dom_rate,shuffle_dom_rate,oos_floor_clean_rate,stress_floor_clean_rate,median_recent_sortino,median_min_oos_floor_sortino,median_stress_floor_sortino,median_prefilter_survival_score,prefilter_decision
positioning|positioning,64,16,0,3,28,8,1.0,1.0,0.765625,0.171875,0.3125,0.9876188582540973,-3.8286460532796025,-1.3795320539499918,3.0,REDESIGN_NOT_REWARD_AS_IS
basis|taker_flow,60,15,0,2,23,1,0.9166666666666666,0.8666666666666667,0.7166666666666667,0.05,0.5,-0.3193240315192837,-5.409971837032161,0.038988203701338736,3.0,REDESIGN_NOT_REWARD_AS_IS
open_interest|positioning,92,23,0,2,31,7,0.9456521739130435,0.8913043478260869,0.8478260869565217,0.09782608695652174,0.2391304347826087,-0.28851410443321013,-8.752381868580958,-7.0728216243351625,2.0,REDESIGN_NOT_REWARD_AS_IS
positioning|taker_flow,84,21,0,1,41,3,1.0,0.9523809523809523,0.8690476190476191,0.047619047619047616,0.32142857142857145,0.4553844864554558,-5.412511074487132,-1.4410739853704633,3.0,REDESIGN_NOT_REWARD_AS_IS
basis|positioning,64,16,0,1,24,7,0.8125,0.765625,0.625,0.125,0.171875,0.18421499729804744,-6.971295460497373,-2.8471431424553724,2.0,REDESIGN_NOT_REWARD_AS_IS
basis|basis,24,6,0,1,7,0,0.4583333333333333,0.4166666666666667,0.3333333333333333,0.041666666666666664,0.5416666666666666,-0.7380273874669154,-6.332970472136047,0.22728475366160564,2.0,REDESIGN_NOT_REWARD_AS_IS
funding_dense|open_interest,24,6,0,0,12,0,1.0,1.0,0.9583333333333334,0.0,1.0,-0.5814773140595211,-4.14032339545572,3.9992908484065115,4.0,HARD_BLOCK_CONTROL_STALE_PATTERN
taker_flow|taker_flow,8,2,0,0,7,0,1.0,1.0,0.75,0.0,0.5,8.503816597961523,-5.651459121081697,-0.2607127490301503,4.0,HARD_BLOCK_CONTROL_STALE_PATTERN
liquidity|taker_flow,24,6,0,0,13,2,0.875,0.8333333333333334,0.5416666666666666,0.08333333333333333,0.5416666666666666,5.810134292196086,-3.8949798951872965,0.4895661281660014,3.5,HARD_BLOCK_CONTROL_STALE_PATTERN
funding_dense|premium,216,54,0,0,92,4,0.9212962962962963,0.8842592592592593,0.8148148148148148,0.018518518518518517,0.375,-0.6694179407060097,-7.916305705850311,-2.8348809359057316,3.0,HARD_BLOCK_CONTROL_STALE_PATTERN
