seed,algorithm,mechanism_family,primitive_id,visits,unique_candidates,first_evaluations
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Acceleration,6,6,6
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Delta,6,6,6
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Duration,2,2,2
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,EventWindow,6,6,6
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,FirstHit,2,2,2
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,LastHit,1,1,1
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,MultiScaleRelation,15,15,15
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,PathShape,4,4,4
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Persistence,5,5,5
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Slope,5,5,5
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,TimeSince,2,2,2
20260715,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Transition,1,1,1
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,Acceleration,5,5,5
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,Delta,6,6,6
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,Duration,1,1,1
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,EventWindow,5,5,5
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,FirstHit,1,1,1
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,LastHit,2,2,2
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,MultiScaleRelation,16,16,16
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,PathShape,5,5,5
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,Persistence,5,5,5
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,Slope,6,6,6
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,StateAge,2,2,2
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,TimeSince,1,1,1
20260715,canonical_typed_random,DIRECTIONAL_STATEFUL,Transition,1,1,1
20260715,canonical_typed_random,SPARSE_EVENT_CARRY,Duration,1,1,1
20260715,canonical_typed_random,SPARSE_EVENT_CARRY,EventWindow,6,6,6
20260715,canonical_typed_random,SPARSE_EVENT_CARRY,FirstHit,2,2,2
20260715,canonical_typed_random,SPARSE_EVENT_CARRY,Persistence,5,5,5
20260715,canonical_typed_random,SPARSE_EVENT_CARRY,StateAge,2,2,2
20260715,canonical_typed_random,SPARSE_EVENT_CARRY,TimeSince,1,1,1
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,Acceleration,1,1,1
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,Delta,2,1,1
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,EventWindow,9,6,6
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,FirstHit,1,1,1
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,LastHit,1,1,1
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,Slope,2,2,2
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,StateAge,5,3,3
20260715,cem_like,CROSS_SECTIONAL_RELATIVE,TimeSince,1,1,1
20260715,cem_like,DIRECTIONAL_STATEFUL,Acceleration,1,1,1
20260715,cem_like,DIRECTIONAL_STATEFUL,Delta,2,2,2
20260715,cem_like,DIRECTIONAL_STATEFUL,EventWindow,80,7,6
20260715,cem_like,DIRECTIONAL_STATEFUL,FirstHit,4,2,2
20260715,cem_like,DIRECTIONAL_STATEFUL,MultiScaleRelation,1,1,1
20260715,cem_like,DIRECTIONAL_STATEFUL,Slope,2,2,2
20260715,cem_like,DIRECTIONAL_STATEFUL,StateAge,5,1,1
20260715,cem_like,DIRECTIONAL_STATEFUL,TimeSince,5,2,2
20260715,cem_like,DIRECTIONAL_STATEFUL,Transition,2,1,1
20260715,cem_like,SPARSE_EVENT_CARRY,Duration,1,1,1
20260715,cem_like,SPARSE_EVENT_CARRY,Persistence,1,1,1
20260715,cem_like,SPARSE_EVENT_CARRY,TimeSince,1,1,1
