admission_policy,panel_id,proposal_id,rank,exact_identity,activation_identity,full_behaviour_cluster
GLOBAL_QUALITY,main,epoch-candidate:fd00a0ed337338af6a3e80ed,0,exact-signal:cc65b00c14bd8c6dba914d84,activation:4dcbcfa2ba5f38ef8c64e23b,behaviour-cluster:4aabb86df8fd467de3cc4052
GLOBAL_QUALITY,main,epoch-candidate:936ceb750011f7a479879713,1,exact-signal:d2d1be4169fc0e44ab9bfe23,activation:f62fcf30279381066b179f2b,behaviour-cluster:d7fe0f94698ccba31be0a0ac
GLOBAL_QUALITY,main,epoch-candidate:18070cf9d0eb17cc93fda54c,2,exact-signal:11ea37c98c30542640aa20ea,activation:dbcc156998c96921dd0f5dc9,behaviour-cluster:18971e73d644c922a1972ab9
GLOBAL_QUALITY,main,epoch-candidate:036d4bd661052b7f3038421c,3,exact-signal:5e6eb5986b20756b15aeff10,activation:8ded333c090420aadf4b4895,behaviour-cluster:2cc1c82b9d6e6d8056247f64
GLOBAL_QUALITY,main,epoch-candidate:88760e04b3d8040b2a8e4e81,4,exact-signal:6d67d6e4686fd669d7b406e3,activation:b26e50cc2100c83e3cfc2ce4,behaviour-cluster:bdd534e413bc931f636a7699
GLOBAL_QUALITY,main,epoch-candidate:0c7c2d38970f6f81707956d0,5,exact-signal:777434fcdd1560e563b0485f,activation:8b3e3386d1ba12f1fa764dbc,behaviour-cluster:e37c9142c45e1066e3b5953b
GLOBAL_QUALITY,main,epoch-candidate:187f644743e81a01eeeb5b2d,6,exact-signal:67f04425a56c349cd13ce48d,activation:2220a89a33d7799a3c8dffb7,behaviour-cluster:d9af6b029aa52bcf17ca1f99
GLOBAL_QUALITY,main,epoch-candidate:60d79299ca96e375037dbfd0,7,exact-signal:f9974df0e9c5770e7f690f1e,activation:c38a57af9cd4c7ee398f7b84,behaviour-cluster:55b8091103ce4775e11fdc36
GLOBAL_QUALITY,main,epoch-candidate:75a859cf590b5b6e0f0ebe50,8,exact-signal:668e22b2a0915cbb7b5520e2,activation:fb47e4f956095277b4c61e30,behaviour-cluster:29daa3015c0d03525280482e
GLOBAL_QUALITY,main,epoch-candidate:5da43764e63d648978d8b7bd,9,exact-signal:54aa05acde8dc57545f8fc3c,activation:619b348878d636c98aca086e,behaviour-cluster:d0522f2bc6b019068be26a5a
GLOBAL_QUALITY,main,epoch-candidate:8c34f7058e63d70e82014da7,10,exact-signal:e710cde20227eeb8830ce935,activation:9d3e075f17c484dbebea5b64,behaviour-cluster:328cc6e897d5475844974070
GLOBAL_QUALITY,main,epoch-candidate:1b311051d1039ccd1a1a68cd,11,exact-signal:5453aff9b24a2581d968c7ea,activation:760585106dac2aba367f8d46,behaviour-cluster:bf0e376e0acad82ac6bfadc1
GLOBAL_QUALITY,main,epoch-candidate:14bbdb2fc4eb93bfbbc36828,12,exact-signal:737dbb4adf68439c505681f1,activation:ce93bab79312330ab3050d2e,behaviour-cluster:cb9853a42da6eef45c020e20
GLOBAL_QUALITY,main,epoch-candidate:0ac6d6d84cd81cd11a0f91b9,13,exact-signal:1fc09cdcff774b249c4aed3e,activation:e2f161817023dfb0dfe3f465,behaviour-cluster:0e4f3f812baf7de1c927cdd4
GLOBAL_QUALITY,main,epoch-candidate:6b13bd9b33ee7cb2807665b5,14,exact-signal:037e1ef83145fea97cf24f60,activation:fe8117faedf2bb893730070f,behaviour-cluster:b97cf757875bf3fed45e4dcd
GLOBAL_QUALITY,main,epoch-candidate:097b3c1d8a0f447c3c7ce2e2,15,exact-signal:eca8305357217b4423be1f96,activation:a420a2bc32b0914137fba0c4,behaviour-cluster:41a575dd46cd924e03bd846c
GLOBAL_QUALITY,main,epoch-candidate:44ecc222126b412f9e8bc31c,16,exact-signal:b1f391d79764d18c1c48d0e3,activation:7315516a92b6ea648f56ad06,behaviour-cluster:9af91b71791387b4e6cd6466
GLOBAL_QUALITY,main,epoch-candidate:b20ab1a3ae1418c5bd86c182,17,exact-signal:ec485754226897e96ab03aeb,activation:000b2328ea44f5fb8f9217e2,behaviour-cluster:8654384c0fa58d0d9d5536a4
GLOBAL_QUALITY,main,epoch-candidate:21dfbfe22ed8c8f8cf786c12,18,exact-signal:479b4da852c451358c0fb9d1,activation:fe70f4c9c7e9668975848981,behaviour-cluster:3320f11d5a4d6aa2359771b3
GLOBAL_QUALITY,main,epoch-candidate:87910a5bd0dbd671f9f6d896,19,exact-signal:ccda07f1d1d3358701c964e6,activation:5f38eb64891e91a89da604a4,behaviour-cluster:3754072b91bba544f3bfc733
GLOBAL_QUALITY,main,epoch-candidate:075163f1b2f77488f924a801,20,exact-signal:e0fb17201cd744517abc9d8d,activation:5f73c5fad5bedfbe4d096a04,behaviour-cluster:9fd1ae7d9ae63b19684ba81b
GLOBAL_QUALITY,main,epoch-candidate:15457774e93281d9417ee3ab,21,exact-signal:071e30411b3837b8060b69a4,activation:3d18a26b28b4f68c55f8922e,behaviour-cluster:d6768fa9d9e38da2b7798e8a
GLOBAL_QUALITY,main,epoch-candidate:96ff2842f7f4d220af91f2a7,22,exact-signal:616290d4e8fb075e859aefd1,activation:b7e4bd60141da299b8bb7fa3,behaviour-cluster:7bd0bfe3b6bb5183cd3c8f1d
GLOBAL_QUALITY,main,epoch-candidate:cc556ccb5a6aa6a6edc661c6,23,exact-signal:91cf20976fed7c9e796345f4,activation:07737835322eb7b34c45c764,behaviour-cluster:d60438fe7c68dfd564a55dfa
GLOBAL_QUALITY,main,epoch-candidate:f30c4837a104272d047fb996,24,exact-signal:fa9690e716814107e67a7619,activation:ade71f74d9ce9c94727669d4,behaviour-cluster:b665f6ec55c7509e058ba694
GLOBAL_QUALITY,main,epoch-candidate:25a1239104a7134599cdec04,25,exact-signal:9baca13b1abe61f5cb9b836b,activation:dc7633913658d4bde5b12ced,behaviour-cluster:a9f7752090a4419e6d68eba3
GLOBAL_QUALITY,main,epoch-candidate:1cad9d3007c59c3bb127c1f3,26,exact-signal:658e78b99dd2b7ff7d292d34,activation:7899d24047419a99104a1e2e,behaviour-cluster:d6768fa9d9e38da2b7798e8a
GLOBAL_QUALITY,main,epoch-candidate:725bd8cb3bba565280032117,27,exact-signal:7a57d202594892f1038fd386,activation:577222b8b1b83c5173b3ce45,behaviour-cluster:2adbab6146eaa1c1954ea3b2
GLOBAL_QUALITY,main,epoch-candidate:1cbed1ddf437a8c6f599fa58,28,exact-signal:05467848d3f6516ee0d8ff7e,activation:88fe6df6f41269e4334968df,behaviour-cluster:d6768fa9d9e38da2b7798e8a
GLOBAL_QUALITY,main,epoch-candidate:23a29f4c8ad90416284a5234,29,exact-signal:ee8cdfce1c1c1e1fbb667ff3,activation:a447c060a9e148ec6d27603d,behaviour-cluster:a9f7752090a4419e6d68eba3
GLOBAL_QUALITY,main,epoch-candidate:04e655bc53bc14a0720ea0a7,30,exact-signal:5753a3299bbf125085134aac,activation:5466e033af417e64dff55fb8,behaviour-cluster:43e018a056c5b7e2f258c451
GLOBAL_QUALITY,main,epoch-candidate:40b74765c18780f5fb178d7c,31,exact-signal:609f029fd8b9977f817134b8,activation:8ded333c090420aadf4b4895,behaviour-cluster:739b50ec465a6996e9fe9371
GLOBAL_QUALITY,main,epoch-candidate:ab872b66b7f6409547535eab,32,exact-signal:518c204c9439e5b9d10871c4,activation:c82685e695fb7000dbd124ff,behaviour-cluster:a9f7752090a4419e6d68eba3
GLOBAL_QUALITY,main,epoch-candidate:29fc7a448986186f966458e6,33,exact-signal:16eb080ce1b154d1c1283652,activation:84f7168c846cbc29657dd823,behaviour-cluster:7d5dbbc8455ecb0dbb845f49
GLOBAL_QUALITY,main,epoch-candidate:652b658d1bdb6442c5c0dcc1,34,exact-signal:1304e0d89aa6618ce3d50704,activation:c734a890b8bcba398a298f41,behaviour-cluster:d6768fa9d9e38da2b7798e8a
GLOBAL_QUALITY,main,epoch-candidate:1050d8cef6ff24880bcd0ecd,35,exact-signal:463689b0eeaba691e6e6deb1,activation:f3895be36666bd58a718bdd7,behaviour-cluster:7d5dbbc8455ecb0dbb845f49
GLOBAL_QUALITY,main,epoch-candidate:0174aa1a2842620fa603d818,36,exact-signal:b4d74e97654761e61fbb0a37,activation:9d69bf8aaa65c22b9d6ff87a,behaviour-cluster:c79c472a0274631756b8336a
GLOBAL_QUALITY,main,epoch-candidate:0e48c8aa04a3095dcd97a83f,37,exact-signal:2e84642c5e747edbcf494bec,activation:803b84417ba8f1c4f71f5c73,behaviour-cluster:d6768fa9d9e38da2b7798e8a
GLOBAL_QUALITY,main,epoch-candidate:1e8f4c2db1749cce05ddcdc0,38,exact-signal:0967e15f83330d59969a28c1,activation:c38a57af9cd4c7ee398f7b84,behaviour-cluster:12a345077c9c1e7a3e0a2ab0
